name,family,feature_window,hold,trend_window,quantile,matched_control,eligible,robust_score,development_total_cagr,validation_total_cagr,development_excess_cagr,validation_excess_cagr,development_excess_sharpe,validation_excess_sharpe,validation_max_dd,validation_ann_turnover,validation_time_in_market,validation_sharpe_add,validation_dd_reduction,validation_cagr_retention
reserve_decline_w30_q70_hold7_ma200,reserve_decline,30,7,200,0.7,price_trend_ma200,False,0.7399497385476403,0.6253898098076007,0.19480217458294669,0.6085325689129626,0.17294426389322792,1.7056671655560083,0.7399497385476403,-0.23935287421761586,6.4955509924709105,0.2245037645448323,-0.28804461965880224,0.3826338643984728,0.41446714907698307
dual_accumulation_w30_q70_hold7_ma200,dual_accumulation,30,7,200,0.7,price_trend_ma200,False,0.7399497385476403,0.6253898098076007,0.19480217458294669,0.6085325689129626,0.17294426389322792,1.7056671655560083,0.7399497385476403,-0.23935287421761586,6.4955509924709105,0.2245037645448323,-0.28804461965880224,0.3826338643984728,0.41446714907698307
net_outflow_w30_q70_hold30_ma100,net_outflow,30,30,100,0.7,price_trend_ma100,False,0.6764073467311169,0.554173210380343,0.2105253195459469,0.5380554939995132,0.18837437716095495,1.2081573518504294,0.6764073467311169,-0.3782388783814591,9.243668720054757,0.35592060232717315,-0.5946526062341431,-9.992007221626409e-16,0.3264720295426037
reserve_decline_w30_q70_hold30_ma100,reserve_decline,30,30,100,0.7,price_trend_ma100,False,0.6764073467311169,0.554173210380343,0.2105253195459469,0.5380554939995132,0.18837437716095495,1.2081573518504294,0.6764073467311169,-0.3782388783814591,9.243668720054757,0.35592060232717315,-0.5946526062341431,-9.992007221626409e-16,0.3264720295426037
dual_accumulation_w30_q70_hold30_ma100,dual_accumulation,30,30,100,0.7,price_trend_ma100,False,0.6764073467311169,0.554173210380343,0.2105253195459469,0.5380554939995132,0.18837437716095495,1.2081573518504294,0.6764073467311169,-0.3782388783814591,9.243668720054757,0.35592060232717315,-0.5946526062341431,-9.992007221626409e-16,0.3264720295426037
dual_accumulation_w30_q50_hold30_ma200,dual_accumulation,30,30,200,0.5,price_trend_ma200,False,0.6130699404094484,1.0909695607600622,0.2019980332717386,1.069293540284309,0.18001256965082213,1.7054055863054574,0.6130699404094484,-0.6417769334119288,9.243668720054757,0.4702258726899384,-0.4149244177969942,-0.0197901947958401,0.4297772812266347
net_outflow_w30_q70_hold7_ma100,net_outflow,30,7,100,0.7,price_trend_ma100,False,0.5657606999916428,0.48473126392716015,0.14641029330219002,0.46933265923247425,0.12543766928197342,1.3412282388590049,0.5657606999916428,-0.3129026817025431,10.992470910335387,0.24845995893223818,-0.7052992529736172,0.06533619667891499,0.22704568601717195
reserve_decline_w30_q70_hold7_ma100,reserve_decline,30,7,100,0.7,price_trend_ma100,False,0.5657606999916428,0.48473126392716015,0.14641029330219002,0.46933265923247425,0.12543766928197342,1.3412282388590049,0.5657606999916428,-0.3129026817025431,10.992470910335387,0.24845995893223818,-0.7052992529736172,0.06533619667891499,0.22704568601717195
dual_accumulation_w30_q70_hold7_ma100,dual_accumulation,30,7,100,0.7,price_trend_ma100,False,0.5657606999916428,0.48473126392716015,0.14641029330219002,0.46933265923247425,0.12543766928197342,1.3412282388590049,0.5657606999916428,-0.3129026817025431,10.992470910335387,0.24845995893223818,-0.7052992529736172,0.06533619667891499,0.22704568601717195
net_outflow_w30_q70_hold30_ma200,net_outflow,30,30,200,0.7,price_trend_ma200,False,0.35080577213575637,0.6632676173417877,0.08297140408484949,0.6460157879062722,0.0631569943826984,1.3912310751974093,0.35080577213575637,-0.6133268281636934,6.745379876796714,0.34360027378507874,-0.6771885860706862,0.008659910452395225,0.17653253296368684
reserve_decline_w30_q70_hold30_ma200,reserve_decline,30,30,200,0.7,price_trend_ma200,False,0.35080577213575637,0.6632676173417877,0.08297140408484949,0.6460157879062722,0.0631569943826984,1.3912310751974093,0.35080577213575637,-0.6133268281636934,6.745379876796714,0.34360027378507874,-0.6771885860706862,0.008659910452395225,0.17653253296368684
dual_accumulation_w30_q70_hold30_ma200,dual_accumulation,30,30,200,0.7,price_trend_ma200,False,0.35080577213575637,0.6632676173417877,0.08297140408484949,0.6460157879062722,0.0631569943826984,1.3912310751974093,0.35080577213575637,-0.6133268281636934,6.745379876796714,0.34360027378507874,-0.6771885860706862,0.008659910452395225,0.17653253296368684
