candidate,family,split,cost_bps,TotalReturn,TotalCAGR,TotalSharpe,MaxDD,Calmar,ExcessReturn,ExcessCAGR,ExcessSharpe,AnnTurnover,Trades,TimeInMarket,NPeriods
reserve_decline_w30_q70_hold7_ma200,reserve_decline,validation,30.0,0.9612564626854081,0.1832691442538923,0.7737962905681862,-0.2506467316335451,0.7311850549954053,0.821534315193192,0.16162185509522153,0.7031947210872678,6.4955509924709105,26,0.2245037645448323,1461
reserve_decline_w30_q70_hold30_ma100,reserve_decline,development,15.0,8.078659945043015,0.554173210380343,1.2321556923008876,-0.40119892519426903,1.3812928589277764,7.61732115731191,0.5380554939995132,1.2081573518504294,9.194961664841182,46,0.37458926615553123,1826
reserve_decline_w30_q70_hold30_ma100,reserve_decline,validation,15.0,1.1484380545493336,0.2105253195459469,0.7305793999782147,-0.3782388783814591,0.5565935486241296,0.9953471665759113,0.18837437716095495,0.6764073467311169,9.243668720054757,37,0.35592060232717315,1461
reserve_decline_w30_q70_hold30_ma100,reserve_decline,development,30.0,7.473947029906515,0.5329059031098604,1.2004168532128405,-0.4065000885596962,1.3109613456618006,7.04332593435409,0.5170083178307567,1.1764191539027777,9.194961664841182,46,0.37458926615553123,1826
reserve_decline_w30_q70_hold30_ma100,reserve_decline,validation,30.0,1.0324243845543761,0.19385310454701954,0.6899290157819256,-0.38848387172021637,0.498999105647895,0.8875968510506347,0.1720067114128323,0.6357634185917038,9.243668720054757,37,0.35592060232717315,1461
reserve_decline_w30_q70_hold30_ma200,reserve_decline,development,15.0,11.747236303345533,0.6632676173417877,1.415928465265805,-0.33969927462006055,1.9525140820027505,11.099375418834763,0.6460157879062722,1.3912310751974093,4.7973713033953995,24,0.384446878422782,1826
reserve_decline_w30_q70_hold30_ma200,reserve_decline,validation,15.0,0.37582373658170276,0.08297140408484949,0.4049300935229033,-0.6133268281636934,0.13528089800550008,0.2777987895894398,0.0631569943826984,0.35080577213575637,6.745379876796714,27,0.34360027378507874,1461
reserve_decline_w30_q70_hold30_ma200,reserve_decline,development,30.0,11.297269630127419,0.6513623297552962,1.398932827596337,-0.3453634248456726,1.8860200093462727,10.672270460006834,0.6342337826776356,1.3742359283417955,4.7973713033953995,24,0.384446878422782,1826
reserve_decline_w30_q70_hold30_ma200,reserve_decline,validation,30.0,0.32102948059511527,0.0720312303330608,0.37518053102147303,-0.6225687996581917,0.1157000324664648,0.22690723868128915,0.05241671007917703,0.3210719658561182,6.745379876796714,27,0.34360027378507874,1461
reserve_decline_w90_q70_hold7_ma100,reserve_decline,development,15.0,7.977018574684317,0.5506794413711211,1.3743027613661203,-0.3573801585320586,1.5408786084628776,7.520892960324627,0.5345996924142677,1.3459981967511627,6.396495071193867,32,0.2864184008762322,1826
