strategy,prior_peak,trough,recovered,completed,depth,peak_to_trough_days,trough_to_recovery_days,underwater_days,within_20d
credit_canary_equity_allocation,2013-07-18,2013-07-19,2013-07-22,True,-0.0012416432636046526,1,1,1,True
credit_canary_equity_allocation,2013-07-22,2013-07-24,2013-07-26,True,-0.0053717614937361935,2,2,3,True
credit_canary_equity_allocation,2013-07-26,2013-07-29,2013-08-01,True,-0.002770027322896551,1,3,3,True
credit_canary_equity_allocation,2013-08-02,2013-08-27,2013-09-16,True,-0.03939902239130244,17,13,29,True
credit_canary_equity_allocation,2013-09-18,2013-10-09,2013-10-16,True,-0.03538455993549261,15,5,19,True
credit_canary_equity_allocation,2013-10-22,2013-10-23,2013-10-25,True,-0.005106976773192051,1,2,2,True
credit_canary_equity_allocation,2013-10-29,2013-11-07,2013-11-13,True,-0.014358790689972034,7,4,10,True
credit_canary_equity_allocation,2013-11-15,2013-11-20,2013-11-22,True,-0.010337706499031318,3,2,4,True
credit_canary_equity_allocation,2013-11-22,2013-11-25,2013-11-26,True,-0.0001508993362487887,1,1,1,True
credit_canary_equity_allocation,2013-11-29,2013-12-05,2013-12-06,True,-0.009559643927985806,4,1,4,True
credit_canary_equity_allocation,2013-12-09,2013-12-13,2013-12-18,True,-0.017945346442730603,4,3,6,True
credit_canary_equity_allocation,2013-12-18,2013-12-19,2013-12-20,True,-0.0015622217466116917,1,1,1,True
credit_canary_equity_allocation,2013-12-26,2013-12-30,2013-12-31,True,-0.001159225668440289,2,1,2,True
credit_canary_equity_allocation,2013-12-31,2014-01-13,2014-01-15,True,-0.01772761425501368,8,2,9,True
credit_canary_equity_allocation,2014-01-15,2014-02-03,2014-02-14,True,-0.0541497889535939,12,9,20,True
credit_canary_equity_allocation,2014-02-18,2014-02-19,2014-02-24,True,-0.006683875053394517,1,3,3,True
credit_canary_equity_allocation,2014-02-24,2014-02-26,2014-02-27,True,-0.0007411459170477697,2,1,2,True
credit_canary_equity_allocation,2014-02-28,2014-03-03,2014-03-04,True,-0.007128672987336104,1,1,1,True
credit_canary_equity_allocation,2014-03-06,2014-03-27,2014-04-02,True,-0.021875138621301637,15,4,18,True
credit_canary_equity_allocation,2014-04-02,2014-04-11,2014-05-12,True,-0.04420656411417789,7,20,26,True
credit_canary_equity_allocation,2014-05-13,2014-05-15,2014-05-22,True,-0.013363719272160623,2,5,6,True
credit_canary_equity_allocation,2014-05-27,2014-05-28,2014-05-29,True,-0.001317258536281729,1,1,1,True
credit_canary_equity_allocation,2014-06-02,2014-06-03,2014-06-04,True,-0.0004988111283044105,1,1,1,True
credit_canary_equity_allocation,2014-06-10,2014-06-12,2014-06-18,True,-0.010212149396008008,2,4,5,True
credit_canary_equity_allocation,2014-06-20,2014-06-24,2014-06-25,True,-0.004937105520403828,2,1,2,True
credit_canary_equity_allocation,2014-06-25,2014-06-26,2014-06-27,True,-0.0004014260411044912,1,1,1,True
credit_canary_equity_allocation,2014-07-03,2014-07-31,2014-08-13,True,-0.012406477253303128,19,9,27,True
credit_canary_equity_allocation,2014-08-15,2014-11-06,2015-01-06,True,-0.03147324525249107,58,40,97,False
credit_canary_equity_allocation,2015-01-06,2015-01-08,2015-01-09,True,-0.004575786901987455,2,1,2,True
credit_canary_equity_allocation,2015-01-12,2015-01-13,2015-01-14,True,-0.0002344123618123195,1,1,1,True
credit_canary_equity_allocation,2015-01-15,2015-01-16,2015-01-20,True,-0.0006341944767286334,1,1,1,True
credit_canary_equity_allocation,2015-01-20,2015-01-26,2015-01-28,True,-0.004064272371060218,4,2,5,True
credit_canary_equity_allocation,2015-01-28,2015-01-29,2015-01-30,True,-0.007243398245681321,1,1,1,True
credit_canary_equity_allocation,2015-01-30,2015-07-08,2016-02-08,True,-0.061292475627496734,109,148,256,False
credit_canary_equity_allocation,2016-02-08,2016-02-09,2016-02-10,True,-0.0005465427988593508,1,1,1,True
credit_canary_equity_allocation,2016-02-11,2016-03-14,2016-04-11,True,-0.01623585005963757,21,19,39,True
credit_canary_equity_allocation,2016-04-11,2016-05-23,2016-07-05,True,-0.03800909690931131,30,29,58,False
credit_canary_equity_allocation,2016-07-12,2016-07-13,2016-07-14,True,-0.0007089403665150318,1,1,1,True
credit_canary_equity_allocation,2016-07-14,2016-07-15,2016-07-18,True,-0.0014080056356241544,1,1,1,True
credit_canary_equity_allocation,2016-07-18,2016-07-19,2016-07-20,True,-0.0016737067825065566,1,1,1,True
credit_canary_equity_allocation,2016-07-20,2016-07-21,2016-07-22,True,-0.003404548823747078,1,1,1,True
credit_canary_equity_allocation,2016-07-22,2016-07-25,2016-07-28,True,-0.00201351626914148,1,3,3,True
credit_canary_equity_allocation,2016-08-01,2016-08-02,2016-08-05,True,-0.006704463454606513,1,3,3,True
credit_canary_equity_allocation,2016-08-05,2016-08-08,2016-08-09,True,-0.0007257047917615944,1,1,1,True
credit_canary_equity_allocation,2016-08-09,2016-08-10,2016-08-11,True,-0.002497555214710734,1,1,1,True
credit_canary_equity_allocation,2016-08-11,2016-08-12,2016-08-15,True,-0.00048064154635840683,1,1,1,True
credit_canary_equity_allocation,2016-08-15,2016-08-31,2016-09-06,True,-0.008530831907400116,12,3,14,True
credit_canary_equity_allocation,2016-09-07,2016-09-09,2016-09-22,True,-0.027339993070114144,2,9,10,True
credit_canary_equity_allocation,2016-09-22,2016-11-04,2016-11-17,True,-0.04119755902830513,31,9,39,True
credit_canary_equity_allocation,2016-11-17,2016-11-18,2016-11-21,True,-0.0026167906281522324,1,1,1,True
credit_canary_equity_allocation,2016-11-22,2016-11-23,2016-11-25,True,-0.0006021950473279469,1,1,1,True
credit_canary_equity_allocation,2016-11-25,2016-12-01,2016-12-07,True,-0.013601735767210243,4,4,7,True
credit_canary_equity_allocation,2016-12-09,2016-12-12,2016-12-13,True,-0.001991283126053789,1,1,1,True
credit_canary_equity_allocation,2016-12-13,2016-12-14,2016-12-20,True,-0.0067027363472927926,1,4,4,True
credit_canary_equity_allocation,2016-12-20,2016-12-22,2016-12-27,True,-0.004270789713669454,2,2,3,True
credit_canary_equity_allocation,2016-12-27,2016-12-30,2017-01-05,True,-0.013923851185398073,3,3,5,True
credit_canary_equity_allocation,2017-01-06,2017-01-09,2017-01-11,True,-0.0016452981833314784,1,2,2,True
credit_canary_equity_allocation,2017-01-11,2017-01-12,2017-01-13,True,-0.0022684018954310936,1,1,1,True
credit_canary_equity_allocation,2017-01-13,2017-01-19,2017-01-24,True,-0.004131760945770502,3,3,5,True
credit_canary_equity_allocation,2017-01-25,2017-01-31,2017-02-08,True,-0.008377168243573818,4,6,9,True
credit_canary_equity_allocation,2017-02-15,2017-02-16,2017-02-17,True,-0.0007157170644671584,1,1,1,True
credit_canary_equity_allocation,2017-02-21,2017-02-23,2017-02-24,True,-0.0010020533765703332,2,1,2,True
credit_canary_equity_allocation,2017-02-27,2017-02-28,2017-03-01,True,-0.0027908823251519,1,1,1,True
credit_canary_equity_allocation,2017-03-01,2017-04-13,2017-04-24,True,-0.021071910957034645,31,6,36,True
credit_canary_equity_allocation,2017-04-25,2017-04-26,2017-04-27,True,-0.0008233363039236163,1,1,1,True
credit_canary_equity_allocation,2017-04-27,2017-04-28,2017-05-01,True,-0.0011882340844432404,1,1,1,True
credit_canary_equity_allocation,2017-05-02,2017-05-03,2017-05-05,True,-0.0017119116141032231,1,2,2,True
credit_canary_equity_allocation,2017-05-10,2017-05-12,2017-05-15,True,-0.0024180220733841518,2,1,2,True
credit_canary_equity_allocation,2017-05-16,2017-05-17,2017-05-24,True,-0.019671897468544475,1,5,5,True
credit_canary_equity_allocation,2017-05-26,2017-05-31,2017-06-01,True,-0.0007131402826834332,2,1,2,True
credit_canary_equity_allocation,2017-06-02,2017-06-12,2017-06-19,True,-0.009862301972586307,6,5,10,True
credit_canary_equity_allocation,2017-06-19,2017-07-06,2017-07-13,True,-0.019965932059943126,12,5,16,True
credit_canary_equity_allocation,2017-07-20,2017-07-21,2017-07-24,True,-0.0007711178174919509,1,1,1,True
credit_canary_equity_allocation,2017-07-26,2017-07-31,2017-08-07,True,-0.00482981067038557,3,5,7,True
credit_canary_equity_allocation,2017-08-07,2017-08-10,2017-08-28,True,-0.018540631176284128,3,12,14,True
credit_canary_equity_allocation,2017-09-01,2017-09-05,2017-09-11,True,-0.00763520250430938,1,4,4,True
credit_canary_equity_allocation,2017-09-11,2017-09-25,2017-10-03,True,-0.015453623506267444,10,6,15,True
credit_canary_equity_allocation,2017-10-05,2017-10-09,2017-10-10,True,-0.0020397303848730397,2,1,2,True
credit_canary_equity_allocation,2017-10-11,2017-10-12,2017-10-13,True,-0.0015733266104144272,1,1,1,True
credit_canary_equity_allocation,2017-10-18,2017-10-19,2017-10-20,True,-0.0007172119221341422,1,1,1,True
credit_canary_equity_allocation,2017-10-20,2017-10-25,2017-10-27,True,-0.007458266065144437,3,2,4,True
credit_canary_equity_allocation,2017-10-27,2017-10-30,2017-11-01,True,-0.002216652905978167,1,2,2,True
credit_canary_equity_allocation,2017-11-01,2017-11-02,2017-11-03,True,-0.00018571254151467098,1,1,1,True
credit_canary_equity_allocation,2017-11-06,2017-11-07,2017-11-08,True,-0.0003752281520681411,1,1,1,True
credit_canary_equity_allocation,2017-11-08,2017-11-15,2017-11-21,True,-0.010820548874930447,5,4,8,True
credit_canary_equity_allocation,2017-11-21,2017-11-22,2017-11-24,True,-0.00035609285427562476,1,1,1,True
credit_canary_equity_allocation,2017-11-24,2017-11-27,2017-11-28,True,-0.0004874779382330052,1,1,1,True
credit_canary_equity_allocation,2017-11-28,2017-11-29,2017-11-30,True,-0.004791142063003573,1,1,1,True
credit_canary_equity_allocation,2017-11-30,2017-12-05,2017-12-08,True,-0.00886077841244548,3,3,5,True
credit_canary_equity_allocation,2017-12-13,2017-12-14,2017-12-15,True,-0.0032415146569512165,1,1,1,True
credit_canary_equity_allocation,2017-12-18,2017-12-29,2018-01-02,True,-0.008294232548004876,8,1,8,True
credit_canary_equity_allocation,2018-01-09,2018-01-10,2018-01-11,True,-0.001731573995218505,1,1,1,True
credit_canary_equity_allocation,2018-01-12,2018-01-16,2018-01-17,True,-0.003278861759764329,1,1,1,True
credit_canary_equity_allocation,2018-01-17,2018-01-18,2018-01-19,True,-0.001214641757758761,1,1,1,True
credit_canary_equity_allocation,2018-01-23,2018-01-24,2018-01-26,True,-0.001920837611657511,1,2,2,True
credit_canary_equity_allocation,2018-01-26,2018-02-08,2018-07-12,True,-0.10132706028653538,9,106,114,False
credit_canary_equity_allocation,2018-07-13,2018-07-16,2018-07-17,True,-0.001272439393051883,1,1,1,True
credit_canary_equity_allocation,2018-07-18,2018-07-20,2018-07-24,True,-0.004988567524338849,2,2,3,True
credit_canary_equity_allocation,2018-07-25,2018-07-30,2018-08-07,True,-0.02129262135475518,3,6,8,True
credit_canary_equity_allocation,2018-08-07,2018-08-15,2018-08-21,True,-0.013510652563578418,6,4,9,True
credit_canary_equity_allocation,2018-08-22,2018-08-23,2018-08-24,True,-0.0013549838076047926,1,1,1,True
credit_canary_equity_allocation,2018-08-29,2018-09-07,2018-09-20,True,-0.017517607659519485,6,9,14,True
credit_canary_equity_allocation,2018-09-20,2018-09-26,2018-10-01,True,-0.006261624077088523,4,3,6,True
credit_canary_equity_allocation,2018-10-01,2019-05-21,2020-07-22,True,-0.12900122109732004,159,295,453,False
credit_canary_equity_allocation,2020-07-29,2020-07-30,2020-07-31,True,-0.001090642447654111,1,1,1,True
credit_canary_equity_allocation,2020-08-06,2020-08-12,2020-09-02,True,-0.02435181877833803,4,15,18,True
credit_canary_equity_allocation,2020-09-02,2020-10-30,2020-12-17,True,-0.12080716178025364,41,33,73,False
credit_canary_equity_allocation,2020-12-17,2020-12-23,2020-12-28,True,-0.00805350062143162,4,2,5,True
credit_canary_equity_allocation,2020-12-28,2020-12-29,2020-12-31,True,-0.0012070258506778897,1,2,2,True
credit_canary_equity_allocation,2020-12-31,2021-01-04,2021-01-07,True,-0.013740523349256017,1,3,3,True
credit_canary_equity_allocation,2021-01-08,2021-01-15,2021-01-20,True,-0.016554682992141245,5,2,6,True
credit_canary_equity_allocation,2021-01-21,2021-01-22,2021-01-25,True,-0.0033726164996895625,1,1,1,True
credit_canary_equity_allocation,2021-01-25,2021-01-29,2021-02-04,True,-0.03826470290470618,4,4,7,True
credit_canary_equity_allocation,2021-02-08,2021-02-10,2021-02-11,True,-0.0014481435334464665,2,1,2,True
credit_canary_equity_allocation,2021-02-12,2021-03-04,2021-04-01,True,-0.05467031601411887,13,20,32,True
credit_canary_equity_allocation,2021-04-05,2021-04-06,2021-04-07,True,-0.00061669698288358,1,1,1,True
credit_canary_equity_allocation,2021-04-09,2021-04-12,2021-04-13,True,-5.54694104116793e-05,1,1,1,True
credit_canary_equity_allocation,2021-04-13,2021-04-14,2021-04-15,True,-0.005577383465198316,1,1,1,True
credit_canary_equity_allocation,2021-04-16,2021-04-22,2021-04-26,True,-0.013952244265715619,4,2,5,True
