strategy,regime,observations,share,conditional_ann_return,conditional_ann_vol,worst_day
credit_canary_equity_allocation,bull_high_vol,953,0.27158734682245655,0.18064114688406185,0.1263417352306354,-0.04122395490137498
credit_canary_equity_allocation,bear_low_vol,29,0.008264462809917356,0.3771485645597341,0.08114964249670065,-0.006544765266136898
credit_canary_equity_allocation,bear_high_vol,693,0.1974921630094044,0.048866122728793204,0.09558662883464729,-0.03416962720675998
sector_downside_trend,bull_low_vol,1911,0.505957108816521,0.07890995618686603,0.10637831292590756,-0.03452562813090798
sector_downside_trend,bull_high_vol,1101,0.2915011914217633,0.17971776432309472,0.14810899066097707,-0.060690449994854956
sector_downside_trend,bear_low_vol,29,0.007678051363516018,-0.11589390654110776,0.18966624163841866,-0.043176465652546514
sector_downside_trend,bear_high_vol,736,0.19486364839819964,0.0506291481211254,0.14774153633957718,-0.05569833856704631
sector_defensive_upside_barbell,bull_low_vol,1911,0.505957108816521,0.09081309420283068,0.1062489409206419,-0.0336214867082516
sector_defensive_upside_barbell,bull_high_vol,1101,0.2915011914217633,0.17647496933291063,0.14170914025940703,-0.0535730928849627
sector_defensive_upside_barbell,bear_low_vol,29,0.007678051363516018,-0.11086912030861107,0.2062943707171205,-0.04784650692808179
sector_defensive_upside_barbell,bear_high_vol,736,0.19486364839819964,0.07552767253363246,0.186548796685154,-0.06587852033846764
sector_low_ulcer_positive_trend,bull_low_vol,1911,0.505957108816521,0.0960671725044493,0.10446680760784807,-0.035061114999782705
sector_low_ulcer_positive_trend,bull_high_vol,1101,0.2915011914217633,0.14542179286935797,0.14109811905194314,-0.06069044999485507
sector_low_ulcer_positive_trend,bear_low_vol,29,0.007678051363516018,-0.12419042839045091,0.17691733021533818,-0.03805495467490394
sector_low_ulcer_positive_trend,bear_high_vol,736,0.19486364839819964,0.06399335798137096,0.14432130769427895,-0.05102303407612274
SPY_95_105_collar,bull_low_vol,1909,0.5056953642384105,0.08682824178350512,0.08007817798998416,-0.032650578297919286
SPY_95_105_collar,bull_high_vol,1101,0.29165562913907284,0.09383770561055704,0.09100531740766687,-0.025029311220928108
SPY_95_105_collar,bear_low_vol,29,0.007682119205298013,-0.14266458580154717,0.09809629892072784,-0.016981573944638395
SPY_95_105_collar,bear_high_vol,736,0.19496688741721854,0.020586224237185258,0.11129531259933033,-0.030265712810434664
ETF_USMV,bull_low_vol,1434,0.5586287495130503,0.08339416620232187,0.08547161486070985,-0.026874871856708782
ETF_USMV,bull_high_vol,859,0.3346318659914297,0.2072408895257527,0.12345068495386745,-0.05012673300772541
ETF_USMV,bear_low_vol,3,0.001168679392286716,3.457346175939411,0.10738075354377664,-0.0017596327080443563
ETF_USMV,bear_high_vol,271,0.10557070510323335,0.2565069227031156,0.3038466180840263,-0.10081689236253122
ETF_QAI,bull_low_vol,1834,0.5700963630711844,0.001242441428839225,0.04669737377375438,-0.026943954550002203
ETF_QAI,bull_high_vol,948,0.29468448865402547,0.05838949563667262,0.06989174123768972,-0.0433575697941726
ETF_QAI,bear_low_vol,29,0.009014609884986011,0.019501703051489683,0.05305112913424958,-0.012230260742576493
ETF_QAI,bear_high_vol,406,0.12620453838980417,0.09526746311999412,0.09092084291627418,-0.03605765151223361
ETF_PHDG,bull_low_vol,1255,0.5494746059544658,0.0696473025235409,0.08457306076697713,-0.03543089351705486
ETF_PHDG,bull_high_vol,795,0.3480735551663748,0.05071516119494457,0.09708040336232972,-0.025978465014102836
ETF_PHDG,bear_low_vol,0,0.0,,,
ETF_PHDG,bear_high_vol,234,0.10245183887915937,0.10523050613145091,0.2228896231197013,-0.07171222000059696
ETF_NTSX,bull_low_vol,327,0.3797909407665505,0.07920846343472299,0.0994918884758436,-0.030913010635252647
ETF_NTSX,bull_high_vol,407,0.4727061556329849,0.27784709932395457,0.14615716619291833,-0.04761924751040858
ETF_NTSX,bear_low_vol,0,0.0,,,
ETF_NTSX,bear_high_vol,127,0.14750290360046459,0.25647170029634214,0.3881232461953281,-0.11985049321041708
