strategy,family,independence_group,evidence,description,implementation_note,start,end,years,cagr,stress_cagr,annual_vol,excess_shy_sharpe,max_drawdown,ulcer_index,calmar,cvar_5pct_daily,worst_calendar_year,best_calendar_year,max_recovery_days,max_underwater_days,max_trough_to_recovery_days,max_5pct_trough_to_recovery_days,median_5pct_trough_to_recovery_days,share_5pct_recovered_within_20d,n_5pct_drawdowns,n_unrecovered_5pct_drawdowns,largest_year_abs_excess_share,annual_turnover,cagr_2007_2012,cagr_2013_2021,rolling_3y_min,rolling_3y_target_share,rolling_5y_min,rolling_5y_target_share,latest_weights,GFC_return,GFC_maxdd,2011_euro_US_downgrade_return,2011_euro_US_downgrade_maxdd,2018_Q4_return,2018_Q4_maxdd,COVID_crash_return,COVID_crash_maxdd,duration_hard_pass,objective_gate,joint_gate
recovery_SPY_trend_75d,Recovery-oriented fast trend,recovery_fast_trend,long_rule,Weekly SPY above 75d moving average; otherwise SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09385838313294315,0.08759991581437876,0.1164015867930432,0.659967281984483,-0.1538388380268746,0.059436247833777246,0.6101085027471849,-0.019252365036697625,-0.07501683371686674,0.2706872996143288,469,469,271,271,52.5,0.16666666666666666,18,0,0.13608759973020393,11.470039404443927,0.0701695408082037,0.10992725559355776,0.01154878231487988,0.4543348775645268,0.03900439747677065,0.3324066719618745,"{""SPY"": 1.0}",-0.09891692819700038,-0.14942285967575641,-0.040545515173424196,-0.0440534260511678,-0.04697234867087707,-0.06704824332613313,-0.0720702783824031,-0.12437189310971453,False,True,False
recovery_sector_barbell_W_cyc65_mom63_ma100_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"W defensive/cyclical barbell; 65% cyclical budget, 63d momentum, 100d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09696232385349246,0.08838295922151107,0.13362183239905193,0.6056625469945637,-0.23499497387512946,0.06529354708358631,0.41261445832035476,-0.021028857656140855,-0.1592789599535671,0.32992042180944026,416,416,272,272,36.0,0.36,25,1,0.1563169998986037,15.698601298424334,0.06755118804848048,0.11700068285862075,0.010663867764961532,0.399735274652548,0.027960441893155608,0.45750595710881653,"{""XLK"": 0.3206015176620209, ""XLP"": 0.12833979467226778, ""XLU"": 0.10248876911346055, ""XLV"": 0.12400124714573214, ""XLY"": 0.3245686714065187}",-0.21544887941015733,-0.23499497387513002,-0.048550400665912874,-0.06550291947941944,-0.06736435873359048,-0.07350701688781824,-0.15445993188023066,-0.15810698377266064,False,True,False
recovery_sector_barbell_M_cyc65_mom126_ma200_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 65% cyclical budget, 126d momentum, 200d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.10221536934625708,0.09994243750465492,0.13682754561323815,0.6281018645167071,-0.21331134857950207,0.06650207347787253,0.47918392540732996,-0.021666874694548838,-0.1353103761706842,0.35938780617370214,437,437,273,273,26.0,0.375,24,0,0.17634665520446713,4.1272732433491655,0.05665238898484515,0.13364887514584334,0.002671843570745125,0.4497021839841165,0.023946565650878382,0.5631453534551231,"{""XLE"": 0.2131490921950638, ""XLK"": 0.21435974989745865, ""XLP"": 0.13234734967525852, ""XLU"": 0.09972808858484696, ""XLV"": 0.1315642209025501, ""XLY"": 0.20885149874482192}",-0.1911098712142304,-0.21331134857950373,-0.10999963765018761,-0.17273534242376143,-0.07997001351956345,-0.0913288583983638,-0.20427703791001295,-0.2066625008171954,False,True,False
recovery_sector_barbell_M_cyc65_mom63_ma100_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 65% cyclical budget, 63d momentum, 100d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.11447677630635722,0.11129355320345136,0.12839691239644913,0.7434196654962463,-0.18388173430773458,0.05668504175796181,0.622556540144303,-0.020079648826385004,-0.10597785937653459,0.31955398203721774,545,545,280,280,25.0,0.4,25,0,0.14243667471878227,5.71889845099769,0.09255804308062854,0.1293198253661203,0.025745058937679977,0.5122435473196558,0.0330518909162536,0.5079428117553614,"{""XLE"": 0.2131490921950638, ""XLK"": 0.21435974989745868, ""XLP"": 0.13234734967525855, ""XLU"": 0.09972808858484698, ""XLV"": 0.13156422090255013, ""XLY"": 0.20885149874482192}",-0.16834891431434063,-0.18388173430773636,-0.03253999584062983,-0.04808963538970379,-0.07856049592260217,-0.08925800226646197,-0.15160889927657495,-0.15503883415708342,False,True,False
recovery_sector_barbell_M_cyc65_mom63_ma50_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 65% cyclical budget, 63d momentum, 50d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09327404649103843,0.08882658688961609,0.13063664906901176,0.5912197197323614,-0.20133908599884498,0.06274225120471591,0.4632684509731683,-0.02066797495775645,-0.11316824701052042,0.3089416051941125,545,545,323,323,43.5,0.3,20,1,0.1488676703626808,8.14969210812902,0.08613055942714576,0.0980582200252782,0.011816117101520751,0.4119788219722038,0.028555073203886616,0.4142176330420969,"{""XLK"": 0.32203667811308057, ""XLP"": 0.13255193933524875, ""XLU"": 0.09988225363450691, ""XLV"": 0.13176759995991227, ""XLY"": 0.3137615289572515}",-0.18967462692539816,-0.20133908599884853,-0.036639573373225875,-0.05228531300850592,-0.08084990701722439,-0.09279067823720055,-0.14955844744945446,-0.1531517642900193,False,True,False
recovery_sector_barbell_M_cyc50_mom63_ma50_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 50% cyclical budget, 63d momentum, 50d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09653703034942396,0.09303725801650753,0.12751487999514108,0.6239197970172615,-0.239069512028508,0.05819991213931114,0.4038031848156043,-0.019869389701020552,-0.13701867738151174,0.2995593459517285,493,493,329,329,45.0,0.25,20,0,0.144082554693421,6.3915734641915245,0.07960004412212851,0.10796557180814403,0.004404080683088507,0.43381866313699535,0.02971285777881527,0.5103256552819698,"{""XLK"": 0.24542243028356764, ""XLP"": 0.1876032305449905, ""XLU"": 0.14136521540099917, ""XLV"": 0.18649314040677978, ""XLY"": 0.23911598336366294}",-0.22855457123636502,-0.23906951202850912,-0.04574336524931599,-0.06819899092430337,-0.082185956619097,-0.0853949865256699,-0.18192584358262076,-0.18398703863069799,False,True,False
recovery_sector_barbell_M_cyc65_mom126_ma100_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 65% cyclical budget, 126d momentum, 100d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09830099544263327,0.09569558873889861,0.12982047161206817,0.6282437406473939,-0.19779526887281795,0.06468639906561867,0.4969835527554537,-0.020665263133749827,-0.12405112182172973,0.3542273462344152,532,532,368,368,25.0,0.38095238095238093,21,0,0.1713896157870167,4.748469153563006,0.055472898524839165,0.1277878494341198,0.01911042193872392,0.3457974851091992,0.026624433880940268,0.4221604447974583,"{""XLE"": 0.2131490921950638, ""XLK"": 0.21435974989745862, ""XLP"": 0.13234734967525855, ""XLU"": 0.09972808858484697, ""XLV"": 0.13156422090255013, ""XLY"": 0.2088514987448219}",-0.18516130368530814,-0.19779526887281607,-0.11061458057653517,-0.16609214598076683,-0.08119364621597758,-0.09132885839836402,-0.15379811171645696,-0.15633490317863397,False,True,False
recovery_sector_barbell_M_cyc65_mom126_ma100_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 65% cyclical budget, 126d momentum, 100d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09324812930561444,0.09008240888347596,0.1385757867735107,0.5655181107811658,-0.23247498271055167,0.07234264953783853,0.4011103827963939,-0.021892871480761154,-0.1576254345366943,0.353791573073839,501,501,373,373,24.0,0.47368421052631576,19,0,0.17657805292968276,5.797759189623998,0.0473268400372453,0.12494715440984483,-0.0005406147456837873,0.38352084712111184,0.019477157707671777,0.38204924543288327,"{""XLK"": 0.32203667811308057, ""XLP"": 0.13255193933524875, ""XLU"": 0.09988225363450691, ""XLV"": 0.13176759995991227, ""XLY"": 0.31376152895725157}",-0.21942320255229308,-0.23247498271055422,-0.11442014836902348,-0.17616646792335244,-0.07385999781265284,-0.08457589710219537,-0.15106827906685893,-0.15545606237320897,False,True,False
recovery_sector_barbell_M_cyc50_mom63_ma50_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 50% cyclical budget, 63d momentum, 50d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09061314813205801,0.0874607656630697,0.12134432586265147,0.6054788011363185,-0.23627679665396584,0.05783340711370379,0.38350421799887346,-0.018976124305132985,-0.13026048711054394,0.2913607472968931,542,542,378,378,45.0,0.21052631578947367,19,1,0.1494806173398004,5.787635144137962,0.07112429898940431,0.10379060974229937,-0.0014126024845952934,0.4189278623428193,0.02798831608239727,0.38046068308181097,"{""SHY"": 0.15682180663444878, ""XLK"": 0.1645303132439573, ""XLP"": 0.18865279500827462, ""XLU"": 0.1421560968053245, ""XLV"": 0.18753649436315137, ""XLY"": 0.1603024939448434}",-0.22400933736658446,-0.23627679665396606,-0.0426098775333158,-0.06513924063348253,-0.08044460944177889,-0.08195301150574041,-0.16827366727883275,-0.16924718161787022,False,True,False
recovery_SPY_trend_150d,Recovery-oriented fast trend,recovery_fast_trend,long_rule,Weekly SPY above 150d moving average; otherwise SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09163730463287312,0.08742111497244198,0.12023992256547393,0.6255647432298803,-0.20894693657623242,0.07957256272343427,0.4385673517612931,-0.019938079745735006,-0.11427570526696618,0.32307727179570356,540,540,381,381,49.0,0.23529411764705882,17,0,0.1472563091893006,7.735607970438928,0.03907914854799688,0.12811209880406937,-0.001298408041847221,0.36366644606221044,0.012523556851029571,0.21803018268467037,"{""SPY"": 1.0}",-0.10410155361339213,-0.1543168855412116,-0.04054551517342464,-0.0440534260511678,-0.10160750871906588,-0.11083495071799954,-0.0720702783824031,-0.12437189310971453,False,True,False
