asset,start_day,length,n_quarters,earnings_mean,earnings_t,earnings_win_rate,placebo_mean,difference_mean,difference_t,difference_p,dev_difference,dev_difference_t,val_difference,val_difference_t,earnings_excess_mean,placebo_excess_mean,excess_difference_mean,excess_difference_t,excess_difference_p,dev_excess_difference,dev_excess_difference_t,val_excess_difference,val_excess_difference_t,both_subperiods_positive,both_subperiods_excess_positive,difference_q,excess_difference_q
XLY,13,8,72,0.004402902287642345,1.384519821201788,0.5833333333333334,0.0011313553908673167,0.0032715468967750285,0.8966929458311053,0.3729131767656383,0.002863293462944406,0.501514929187886,0.003679800330605651,0.7954556641762633,0.0002123696123803448,0.0021134494442038207,-0.0019010798318234757,-0.8865589953153901,0.3783095178204316,-0.000989616496634601,-0.26836423484472727,-0.002812543167012351,-1.2565918959603695,True,False,0.9599562682632208,1.0
XLV,1,5,72,0.006222886190513584,2.658336777655269,0.6805555555555556,0.002985859899211468,0.0032370262913021153,1.1196128801844345,0.26665207975647026,0.0017066170550899108,0.39084068217892437,0.00476743552751432,1.2428761383795028,0.0014913335927417143,-0.00033072812738769455,0.0018220617201294088,0.78645726844892,0.4342167814043843,-0.000927941409761629,-0.255112189217437,0.004572064850020447,1.6050545919835884,True,False,0.9599562682632208,1.0
XLK,1,8,72,0.007445057403046869,1.4509001425673353,0.6388888888888888,0.004213940876342656,0.0032311165267042133,0.6469020906052999,0.5197812710828525,0.00046711014013399134,0.05540367345325359,0.0059951229132744355,1.1001249234134896,0.0012279015573334235,0.001069215468210929,0.00015868608912249457,0.07468564422309647,0.9406748602565226,-0.0005565819100206503,-0.15803310094773987,0.0008739540882656395,0.3603370213913905,True,False,0.9599562682632208,1.0
XLV,1,8,72,0.006724230523528428,1.6755967232547906,0.6666666666666666,0.0035246878740743393,0.003199542649454089,0.7531039872438573,0.4538774181165494,0.0011482581362266418,0.16871690445878312,0.005250827162681536,1.0167586992814097,0.0005070746778149825,0.0003799624659426123,0.00012711221187237018,0.04625905889860963,0.9632336386973228,0.00012456608607200017,0.028795253223551722,0.00012965833767274016,0.037554204414925844,True,True,0.9599562682632208,1.0
XLV,4,3,72,0.0024336197122477744,0.9607241806379371,0.5972222222222222,-0.0007623968351121338,0.003196016547359908,1.1115608140146351,0.2700769121820092,0.002266135092245436,0.5252527381382531,0.00412589800247438,1.0696799733714395,0.0012267692292743367,-0.0017807376333670221,0.003007506862641359,1.7054040741383183,0.09249086415846328,0.004851181103894113,1.5582614001521764,0.0011638326213886047,0.7042021343734297,True,True,0.9599562682632208,1.0
XLY,1,5,72,0.006854829759256565,1.8403521988506963,0.6388888888888888,0.0036725548898949084,0.003182274869361657,0.7692912013698341,0.4442722057822735,0.002215386385400338,0.3134708100154357,0.004149163353322976,0.9414166068281877,0.0021232771614846965,0.00035596686329574586,0.0017673102981889508,1.0449059266961498,0.2996109910955809,-0.00041917207945120185,-0.17547313491374048,0.003953792675829103,1.6668223265238649,True,False,0.9599562682632208,1.0
XLE,4,3,72,0.0030321192101668035,0.7743044620187786,0.5555555555555556,-7.390198304119133e-05,0.003106021193207995,0.6810257153875381,0.49807039092156635,0.0011154800645509346,0.174065513623028,0.005096562321865055,0.7763319972927352,0.001825268727193366,-0.0010922427812960797,0.0029175115084894457,0.9641323677544058,0.3382519767729511,0.0037005260761996117,0.9070353173075509,0.0021344969407792796,0.47176179830315174,True,True,0.9599562682632208,1.0
SPY,1,8,72,0.006217155845713446,1.2937214602347473,0.6666666666666666,0.003144725408131727,0.003072430437581719,0.6852847669582304,0.49539560079313266,0.0010236920501546416,0.13431581064236622,0.005121168825008796,1.062632717829386,0.0,0.0,0.0,,,0.0,,0.0,,True,False,0.9599562682632208,1.0
QQQ,1,3,72,0.005723330777694667,1.9559922524411921,0.625,0.0027030425379974974,0.0030202882396971695,0.960909737905159,0.33985866661597697,0.004190099559209832,0.891634659723948,0.0018504769201845063,0.4371318459300297,0.001493688244629862,8.3051182797601e-05,0.0014106370618322608,1.1416573911260746,0.2574322812120245,0.0012593538251033098,0.620861460774974,0.0015619202985612118,1.0834107097968853,True,True,0.9599562682632208,1.0
QQQ,13,8,72,0.0039647420167530055,1.1966447310227537,0.5833333333333334,0.0010897569031046855,0.0028749851136483204,0.759352031911196,0.4501558342010483,0.0002029717147199122,0.03797521793024554,0.0055469985125767285,1.0268335928324719,-0.00022579065850899464,0.0020718509564411893,-0.002297641614950184,-1.2882931130040336,0.20182655827706364,-0.003649938244859095,-1.7615077887816963,-0.000945344985041273,-0.3241167885064191,True,False,0.9599562682632208,1.0
