date,PriceUSD,FlowInExNtv,FlowOutExNtv,SplyExNtv,CapMVRVCur,IRX,rf
2018-02-02,912.820928697,891954.207365,750105.674795,12087788.3705,1.69097862,1.45000004768,3.97260287037e-05
2018-02-03,960.893826125,313934.161189,365199.60783,12036522.9239,1.77416014,1.45000004768,3.97260287037e-05
2018-02-04,836.672457335,353680.705843,387809.749575,12002393.8802,1.56471305,1.45000004768,3.97260287037e-05
2018-02-05,692.762827294,634716.960166,621762.661495,12015348.1788,1.32925577,1.45799994469,3.9945203964e-05
2018-02-06,789.043020748,726689.357298,649577.855331,12092459.6808,1.51013498,1.48800003529,4.07671242544e-05
2018-02-07,754.53657481,499572.005695,485113.553754,12106918.1327,1.46476678,1.51499998569,4.15068489231e-05
2018-02-08,808.450633548,239700.261129,243383.578205,12103234.8157,1.56439845,1.51499998569,4.15068489231e-05
2018-02-09,873.567374342,327150.048268,370257.407056,12060127.4569,1.67578142,1.52499997616,4.17808212646e-05
2018-02-10,850.714849503,298109.626527,376354.937154,11981882.1462,1.63324016,1.52499997616,4.17808212646e-05
2018-02-11,814.783270894,389837.225942,265133.309746,12106586.0624,1.57282516,1.52499997616,4.17808212646e-05
2018-02-12,867.572440386,253983.680871,304408.788026,12056160.9553,1.68196689,1.53499996662,4.20547936061e-05
2018-02-13,840.090783752,326827.342775,448397.965827,11934590.3322,1.63403271,1.57000005245,4.30137000672e-05
2018-02-14,920.463681473,326830.672519,354076.333328,11907344.6714,1.77351687,1.54999995232,4.24657521183e-05
2018-02-15,929.869215663,332831.708195,329004.527108,11911171.8525,1.78728914,1.55999994278,4.27397244597e-05
2018-02-16,939.339457335,216977.354692,248825.898286,11879323.3089,1.80307119,1.57000005245,4.30137000672e-05
2018-02-17,975.231806254,199725.119239,226533.38426,11852515.0439,1.8610655,1.57000005245,4.30137000672e-05
2018-02-18,915.310905611,205808.20069,249677.474971,11808645.7696,1.7479162,1.57000005245,4.30137000672e-05
2018-02-19,937.840183226,189978.739957,244644.361931,11753980.1476,1.80155775,1.57000005245,4.30137000672e-05
2018-02-20,885.553141146,311737.084666,337760.164656,11727957.0676,1.70907954,1.57299995422,4.30958891568e-05
2018-02-21,840.667042957,303808.843835,307506.570068,11724259.3414,1.62879796,1.60800004005,4.40547956179e-05
2018-02-22,807.07689889,225924.759551,261363.980117,11688820.1208,1.57724792,1.60500001907,4.39726032623e-05
2018-02-23,855.767194039,254883.272437,239131.156128,11704572.2372,1.66793511,1.60500001907,4.39726032623e-05
2018-02-24,834.002846289,181069.408947,223153.337366,11662488.3087,1.6221155,1.60500001907,4.39726032623e-05
2018-02-25,842.311720047,141111.432825,173469.241037,11630130.5005,1.6407222,1.60500001907,4.39726032623e-05
2018-02-26,865.863039158,346925.122671,293224.530307,11683831.0929,1.68393239,1.60800004005,4.40547956179e-05
2018-02-27,875.052981882,264078.827678,275122.475257,11672787.4453,1.69821627,1.63499999046,4.47945202867e-05
2018-02-28,851.323646406,235263.828352,288820.909687,11619230.364,1.65428102,1.61800003052,4.43287679594e-05
2018-03-01,869.302266803,212906.255322,245143.040454,11586993.5788,1.68500825,1.59000003338,4.35616447501e-05
2018-03-02,855.352857686,257527.699178,246352.863406,11598168.4146,1.65884301,1.60500001907,4.39726032623e-05
2018-03-03,854.38756955,145412.077779,183652.891433,11559927.601,1.65748506,1.60500001907,4.39726032623e-05
2018-03-04,861.130722385,136746.341821,172974.335565,11523699.6072,1.66925161,1.60500001907,4.39726032623e-05
2018-03-05,851.608753068,272423.513642,258598.547809,11537524.5731,1.65108944,1.625,4.45205479452e-05
2018-03-06,812.34619287,373668.855427,251319.029369,11659874.3991,1.58017196,1.64300000668,4.5013698813e-05
2018-03-07,751.754232028,412761.027241,333478.881478,11739156.5449,1.47476601,1.64999997616,4.52054787989e-05
2018-03-08,699.337428989,330986.500574,324585.291767,11745557.7537,1.38262832,1.63499999046,4.47945202867e-05
2018-03-09,725.31090678,326848.094854,345643.790889,11726762.0576,1.44035658,1.63499999046,4.47945202867e-05
2018-03-10,684.880582116,265245.448785,209598.714256,11782408.7922,1.37004051,1.63499999046,4.47945202867e-05
2018-03-11,718.054689655,155097.517054,210768.586932,11726737.7223,1.43619107,1.63499999046,4.47945202867e-05
2018-03-12,696.739231151,157086.936256,226030.373897,11657794.2847,1.39843978,1.64300000668,4.5013698813e-05
2018-03-13,689.902102572,333061.122148,853278.495218,11137576.9116,1.38992827,1.69000005722,4.63013714307e-05
2018-03-14,612.332631502,377113.182638,326399.087618,11188291.0066,1.24845781,1.71800005436,4.706849464e-05
2018-03-15,611.166275862,409124.409446,364666.200693,11232749.2154,1.25508563,1.73300004005,4.74794531522e-05
2018-03-16,604.48430187,317486.184124,270270.846496,11279964.553,1.24651026,1.73800003529,4.76164393229e-05
2018-03-17,550.865004091,247923.78931,239640.471773,11288247.8705,1.15055511,1.73800003529,4.76164393229e-05
2018-03-18,538.261328171,687186.057849,500384.546349,11475049.382,1.12510162,1.73800003529,4.76164393229e-05
2018-03-19,550.138212741,612765.036811,522785.126611,11565029.2922,1.15480117,1.72800004482,4.73424669814e-05
2018-03-20,555.636667154,299667.42379,395159.026746,11469537.6893,1.16932635,1.75800001621,4.81643840058e-05
2018-03-21,557.397838983,396399.483903,346847.949824,11519089.2233,1.17931911,1.71000003815,4.68493161136e-05
2018-03-22,539.114045295,326943.428374,313242.982481,11532789.6692,1.14537471,1.68299996853,4.61095881789e-05
2018-03-23,537.592859731,470749.764194,432967.168433,11570572.265,1.14464095,1.68799996376,4.62465743496e-05
2018-03-24,525.082402981,227963.37175,287161.070533,11511374.5662,1.12052195,1.68799996376,4.62465743496e-05
2018-03-25,522.22280187,191196.305947,222131.152289,11480439.7199,1.1166913,1.68799996376,4.62465743496e-05
2018-03-26,489.817600526,420076.252327,389705.611037,11510810.3612,1.05456042,1.70500004292,4.67123299429e-05
2018-03-27,450.549594389,562064.906141,457760.999757,11615114.2675,0.98763844,1.73300004005,4.74794531522e-05
2018-03-28,445.458083577,426844.831885,394516.903226,11647442.1962,0.98245777,1.69500005245,4.64383576014e-05
2018-03-29,385.356470193,658047.889847,508267.250206,11797222.8358,0.8611093,1.66999995708,4.57534234818e-05
2018-03-30,392.467127703,531730.559719,475587.921307,11853365.4743,0.88138377,1.66999995708,4.57534234818e-05
2018-03-31,394.512378141,311678.600021,299781.553374,11865262.5209,0.88914572,1.66999995708,4.57534234818e-05
2018-04-01,378.066090298,272608.135251,280255.887568,11857614.7686,0.85535842,1.66999995708,4.57534234818e-05
2018-04-02,383.397693746,268682.153564,269695.553425,11856601.3687,0.87189648,1.68299996853,4.61095881789e-05
2018-04-03,415.214929866,250581.608269,340543.502542,11766639.4745,0.94609593,1.71300005913,4.69315084693e-05
2018-04-04,378.529877265,342458.412887,326155.587843,11782942.2995,0.86884248,1.66799998283,4.56986296667e-05
2018-04-05,382.700794272,251473.948514,287764.530079,11746651.7179,0.88227321,1.67499995232,4.58904096525e-05
2018-04-06,369.936752776,281620.75774,256544.870316,11771727.6054,0.85728562,1.67999994755,4.60273958232e-05
2018-04-07,384.507249562,195060.211205,186811.560706,11779976.2559,0.89080189,1.67999994755,4.60273958232e-05
2018-04-08,399.415550847,200952.918794,199678.95097,11781250.2237,0.92412917,1.67999994755,4.60273958232e-05
2018-04-09,396.165397136,311511.771402,291347.853084,11801414.142,0.91921794,1.67499995232,4.58904096525e-05
2018-04-10,413.452699299,270516.567117,281165.705027,11790765.0041,0.96085422,1.69500005245,4.64383576014e-05
2018-04-11,429.797426651,310839.296833,289207.050202,11812397.2507,0.99965056,1.69299995899,4.63835605203e-05
2018-04-12,493.565206604,447014.606244,425245.865291,11834165.9917,1.139628,1.70500004292,4.67123299429e-05
2018-04-13,496.317744302,432287.19202,463815.312783,11802637.8709,1.1449447,1.71800005436,4.706849464e-05
2018-04-14,503.221350964,201259.312585,200511.047341,11803386.1362,1.16039066,1.71800005436,4.706849464e-05
2018-04-15,531.263950029,206830.234151,248804.889255,11761411.4811,1.22107196,1.71800005436,4.706849464e-05
2018-04-16,510.983758328,267858.385337,284947.530565,11744322.3358,1.17579392,1.71300005913,4.69315084693e-05
2018-04-17,502.126641438,273238.678173,294692.745378,11722868.2686,1.15609887,1.75499999523,4.80821916502e-05
2018-04-18,524.994593805,311170.877641,339251.321066,11694787.8252,1.20593937,1.76999998093,4.84931501624e-05
2018-04-19,566.5825263,318647.061425,348494.270545,11664940.6161,1.29384483,1.78299999237,4.88493148595e-05
2018-04-20,616.317340736,387396.000867,370773.541968,11681563.075,1.39707226,1.76499998569,4.83561639916e-05
2018-04-21,605.396331093,278871.110541,288097.875495,11672336.31,1.37040878,1.76499998569,4.83561639916e-05
2018-04-22,621.139101403,243053.7199,281805.307018,11633584.7229,1.40354047,1.76499998569,4.83561639916e-05
2018-04-23,642.581729398,370876.470743,828692.766821,11175768.4268,1.43334673,1.78299999237,4.88493148595e-05
2018-04-24,705.007020456,488941.745868,431961.640933,11232748.5318,1.55790945,1.82299995422,4.99452042253e-05
2018-04-25,614.546471654,506272.468646,465723.773873,11273297.2265,1.36282871,1.81500005722,4.97260289649e-05
2018-04-26,661.796761835,413212.198807,418598.475011,11267910.9503,1.45887021,1.78499996662,4.89041086746e-05
2018-04-27,648.910000877,367212.735344,375266.535663,11259857.15,1.43096882,1.76999998093,4.84931501624e-05
2018-04-28,682.535550555,302911.246071,490343.735134,11072424.6609,1.49954035,1.76999998093,4.84931501624e-05
2018-04-29,688.306110169,365149.365346,408581.639054,11028992.3872,1.5097924,1.76999998093,4.84931501624e-05
2018-04-30,667.063407656,362021.782398,431953.915995,10959060.2536,1.46345418,1.76300001144,4.83013701766e-05
2018-05-01,671.53168235,364672.896728,343109.303937,10980623.8464,1.47164055,1.80999994278,4.95890395282e-05
2018-05-02,686.611843366,435950.207099,455204.181527,10961369.872,1.49815735,1.78499996662,4.89041086746e-05
2018-05-03,778.377544126,603464.580016,553890.869406,11010943.5826,1.67700609,1.7879999876,4.89863010302e-05
2018-05-04,783.391213618,613562.395157,486972.508757,11137533.469,1.67844175,1.79299998283,4.91232872009e-05
2018-05-05,811.356392168,426323.327469,354023.437095,11209833.3594,1.72826208,1.79299998283,4.91232872009e-05
2018-05-06,784.875179719,328871.29772,369627.2867,11169077.3704,1.6723889,1.79299998283,4.91232872009e-05
2018-05-07,747.835312098,660008.579924,603145.098902,11225940.8514,1.59606162,1.79299998283,4.91232872009e-05
2018-05-08,751.671231444,465274.162781,481579.034037,11209635.9802,1.60177919,1.83500003815,5.02739736479e-05
2018-05-09,748.334789597,389006.212858,466430.150902,11132212.0421,1.5942497,1.84500002861,5.05479459893e-05
2018-05-10,725.943168907,395022.780781,439351.850298,11087882.9726,1.54828574,1.84500002861,5.05479459893e-05
2018-05-11,679.532485681,426802.392088,472018.911552,11042666.4531,1.45987902,1.86000001431,5.09589045015e-05
2018-05-12,685.777640269,361979.74836,325414.693453,11079231.5081,1.47253925,1.86000001431,5.09589045015e-05
2018-05-13,731.426734366,224744.767472,315902.020886,10988074.2546,1.56509105,1.86000001431,5.09589045015e-05
2018-05-14,726.421808884,377307.169757,433907.30229,10931474.1221,1.5542795,1.85500001907,5.08219183308e-05
2018-05-15,706.47117066,374905.639788,355752.248513,10950627.5134,1.51381273,1.875,5.13698630137e-05
2018-05-16,705.390606955,308205.619439,329803.665977,10929029.4668,1.51221319,1.86500000954,5.10958906722e-05
2018-05-17,668.044736996,338992.524459,339615.558024,10928406.4333,1.43971798,1.86300003529,5.10410968571e-05
2018-05-18,693.651683811,343990.698901,301150.683993,10971246.4482,1.49222575,1.85500001907,5.08219183308e-05
2018-05-19,693.809580655,252266.568458,222777.547003,11000735.4696,1.49231142,1.85500001907,5.08219183308e-05
2018-05-20,713.591691409,213518.921955,243520.294467,10970734.0971,1.53178592,1.85500001907,5.08219183308e-05
2018-05-21,697.845526008,329084.177762,307568.809654,10992249.4652,1.49812325,1.86300003529,5.10410968571e-05
2018-05-22,643.66787668,441745.225102,454784.464908,10979210.2254,1.3897053,1.89300000668,5.18630138815e-05
2018-05-23,578.229988603,609950.02203,502713.613599,11086446.6339,1.26280432,1.87300002575,5.13150691986e-05
2018-05-24,600.610572764,475524.441091,477353.21169,11084617.8633,1.31637511,1.86000001431,5.09589045015e-05
