policy_id,family,policy,entries,entries_per_year,assignments,assignment_rate,stock_time,mean_stock_days,timeout_share,discovery_CAGR,discovery_AnnVol,discovery_Sharpe,discovery_MaxDD,discovery_Calmar,discovery_CashCAGR,discovery_ExcessCAGR,discovery_ExcessVol,discovery_ExcessSharpe,validation_CAGR,validation_AnnVol,validation_Sharpe,validation_MaxDD,validation_Calmar,validation_CashCAGR,validation_ExcessCAGR,validation_ExcessVol,validation_ExcessSharpe,holdout_CAGR,holdout_AnnVol,holdout_Sharpe,holdout_MaxDD,holdout_Calmar,holdout_CashCAGR,holdout_ExcessCAGR,holdout_ExcessVol,holdout_ExcessSharpe,worst_pre_holdout_excess,worst_pre_holdout_drawdown,eligible_pre_holdout,discovery_vs_baseline,validation_vs_baseline,holdout_vs_baseline,selection_score,pre_holdout_rank
iv_rv_0,Entry filter,VXN − 21d RV ≥ 0pp,102,5.234719685260644,12,0.11764705882352941,0.06283149734802121,25.666666666666668,0.08333333333333333,0.025989670808600263,0.06680470940042979,0.4174515608599578,-0.18446253141906055,0.14089403744306822,0.004751036180834944,0.021238634627765318,0.06681826282436902,0.34642311048873764,0.04118916872799416,0.0644609910192542,0.6585263011427627,-0.10291482116558204,0.4002258203580217,0.008935714698060204,0.03225345402993396,0.06448762810197732,0.5202983283972836,0.0820604276960133,0.06663104386731801,1.217007784669914,-0.06748180206760535,1.2160378825361338,0.039657766161707464,0.04240266153430583,0.06661397162900552,0.6334148272606119,0.021238634627765318,-0.18446253141906055,True,-0.013245127075552032,-0.009822475873827452,0.0012703161519811434,0.021238634627765318,15
combo_spread5_or25,Combined,Enter VXN−RV≥5pp; exit BE or VXN≤25%,90,4.618870310524097,10,0.1111111111111111,0.03182374541003672,15.6,0.1,0.025360899233110246,0.06023954751046988,0.44583698464248683,-0.17254463327552438,0.1469816751275782,0.004751036180834944,0.0206098630522753,0.0602344128943244,0.3671767912831479,0.04007511595260027,0.06359663884734626,0.6497514507427685,-0.09800642987397046,0.4089029261052986,0.008935714698060204,0.031139401254540067,0.06362968099052119,0.5095979575650508,0.07746397328376076,0.051672357953239205,1.469846834278196,-0.059756952711539135,1.2963173282563047,0.039657766161707464,0.03780620712205329,0.05165057240495271,0.7174021172905066,0.0206098630522753,-0.17254463327552438,True,-0.01387389865104205,-0.010936528649221344,-0.003326138260271394,0.0206098630522753,16
iv_pct_70,Entry filter,VXN ≥ trailing 70th pct,59,3.027926092454686,9,0.15254237288135594,0.046511627906976744,25.333333333333332,0.1111111111111111,0.02064770123499371,0.060752396317395534,0.3667218398253672,-0.1602320787621665,0.12886122051528287,0.004751036180834944,0.015896665054158765,0.06076251340431037,0.2886465651557062,0.045584659194623844,0.06408922585119409,0.7276547548936758,-0.09061330493826203,0.5030680563487033,0.008935714698060204,0.03664894449656364,0.06411355476408856,0.5886177608899698,0.06321032572345908,0.06437683228597967,0.984264481742021,-0.07803877687437577,0.8099861153028188,0.039657766161707464,0.023552559561751618,0.0643635279277273,0.38014708794316404,0.015896665054158765,-0.1602320787621665,True,-0.018587096649158585,-0.005426985407197771,-0.01757978582057307,0.015896665054158765,17
combo_pct70_be,Combined,Enter top-30% VXN; exit BE or 126d,59,3.027926092454686,9,0.15254237288135594,0.046511627906976744,25.333333333333332,0.1111111111111111,0.02064770123499371,0.060752396317395534,0.3667218398253672,-0.1602320787621665,0.12886122051528287,0.004751036180834944,0.015896665054158765,0.06076251340431037,0.2886465651557062,0.045584659194623844,0.06408922585119409,0.7276547548936758,-0.09061330493826203,0.5030680563487033,0.008935714698060204,0.03664894449656364,0.06411355476408856,0.5886177608899698,0.06321032572345908,0.06437683228597967,0.984264481742021,-0.07803877687437577,0.8099861153028188,0.039657766161707464,0.023552559561751618,0.0643635279277273,0.38014708794316404,0.015896665054158765,-0.1602320787621665,True,-0.018587096649158585,-0.005426985407197771,-0.01757978582057307,0.015896665054158765,17
combo_pct70_or25,Combined,Enter top-30% VXN; exit BE or VXN≤25%,59,3.027926092454686,9,0.15254237288135594,0.04181966544267646,22.77777777777778,0.1111111111111111,0.02064770123499371,0.060752396317395534,0.3667218398253672,-0.1602320787621665,0.12886122051528287,0.004751036180834944,0.015896665054158765,0.06076251340431037,0.2886465651557062,0.04306643258047771,0.0639436931751081,0.6914490213847041,-0.09061330493826258,0.4752771418040661,0.008935714698060204,0.034130717882417505,0.0639708220080773,0.5520853114104289,0.06340874138174923,0.05740084416299442,1.0998523607514146,-0.07803877687437644,0.8125286418035739,0.039657766161707464,0.02375097522004177,0.05738513184447137,0.4223434089652566,0.015896665054158765,-0.1602320787621665,True,-0.018587096649158585,-0.007945212021343906,-0.017381370162282916,0.015896665054158765,17
iv_pct_50,Entry filter,VXN ≥ trailing 50th pct,77,3.9517001545595054,11,0.14285714285714285,0.05507955936352509,24.545454545454547,0.09090909090909091,0.02052674936641541,0.0632649652393513,0.352749726797535,-0.16817233788941055,0.12205782249345737,0.004751036180834944,0.015775713185580464,0.06327627042096855,0.2777717352835453,0.046804054765777536,0.06681154678835638,0.7181703391754246,-0.11266851690601909,0.41541378240399224,0.008935714698060204,0.03786834006771733,0.06683615778108366,0.5847975053519471,0.060492432298530074,0.07225071456952747,0.8489741606334942,-0.0780387768743751,0.7751586419134848,0.039657766161707464,0.02083466613682261,0.07223420388650344,0.3106944742883686,0.015775713185580464,-0.16817233788941055,True,-0.018708048517736886,-0.004207589836044079,-0.020297679245502076,0.015775713185580464,20
iv_exit_30,Assignment exit,VXN ≤ 30% OR 126d,108,5.542644372628917,10,0.09259259259259259,0.044879640962872294,22.0,0.1,0.019930379168625834,0.062160709381408684,0.34853580095272924,-0.19022608745173264,0.1047720606338124,0.004751036180834944,0.01517934298779089,0.062162555192301745,0.27226829419653076,0.05651694128060658,0.06755793299458702,0.8476971747315097,-0.09541116696156648,0.5923514309742457,0.008935714698060204,0.047581226582546376,0.06758192575101732,0.7157566984445115,0.06608581770834276,0.06431238135871914,1.0272278660635807,-0.0812122695861639,0.8137417910507673,0.039657766161707464,0.0264280515466353,0.06430318752698888,0.42248680904819985,0.01517934298779089,-0.19022608745173264,True,-0.01930441871552646,0.0055052966787849655,-0.014704293835689386,0.01517934298779089,21
iv_abs_20,Entry filter,VXN ≥ 20%,79,4.054341717015596,12,0.1518987341772152,0.07527539779681762,30.75,0.08333333333333333,0.018721423369090218,0.062323111770640656,0.32873904249322516,-0.19724527857160368,0.09491443092917429,0.004751036180834944,0.013970387188255273,0.06233669915355517,0.2526232626298296,0.046259217490854265,0.0695918407694344,0.6846902588261992,-0.09061330493826225,0.5105124189253681,0.008935714698060204,0.03732350279279406,0.06962386888821402,0.556596512191725,0.07561842567931398,0.07581371170615117,0.9993894523701821,-0.07503041933785681,1.0078369059728884,0.039657766161707464,0.03596065951760652,0.07580017537582329,0.4864263425074179,0.013970387188255273,-0.19724527857160368,True,-0.020513374515062077,-0.00475242711096735,-0.005171685864718167,0.013970387188255273,22
combo_iv20_or25,Combined,Enter VXN≥20%; exit BE or VXN≤25%,79,4.054341717015596,11,0.13924050632911392,0.06650346797225622,29.636363636363637,0.09090909090909091,0.018721423369090218,0.062323111770640656,0.32873904249322516,-0.19724527857160368,0.09491443092917429,0.004751036180834944,0.013970387188255273,0.06233669915355517,0.2526232626298296,0.03907361657538089,0.06880631688625047,0.5915430665211746,-0.09061330493826247,0.43121279597960693,0.008935714698060204,0.030137901877320683,0.0688386922127429,0.46202863221871165,0.0743291034909952,0.06907498975289993,1.0725530450866527,-0.07503041933785792,0.9906529131377403,0.039657766161707464,0.03467133732928773,0.0690669955997694,0.5095106358476218,0.013970387188255273,-0.19724527857160368,True,-0.020513374515062077,-0.011938028026440728,-0.006461008053036954,0.013970387188255273,22
iv_pct70_rv0,Entry filter,70th pct + VXN−RV ≥ 0,54,2.7713221863144586,8,0.14814814814814814,0.050999592003263976,31.25,0.125,0.01662001306062577,0.060414620203402235,0.30298217645954384,-0.16023207876216705,0.1037246298557663,0.004751036180834944,0.011868976879790827,0.06042358167761858,0.22448542399621485,0.03424656441664964,0.06592577292675983,0.5437943982893116,-0.09061330493826192,0.3779418976052473,0.008935714698060204,0.025310849718589434,0.06595218896715369,0.4086841325880346,0.06426755197665623,0.06074794788913662,1.0556928955980793,-0.0674818020676049,0.9523686387668108,0.039657766161707464,0.02460978581494877,0.060736287648150186,0.4154839920449718,0.011868976879790827,-0.16023207876216705,True,-0.022614784823526524,-0.016765080185171977,-0.016522559567375916,0.011868976879790827,24
iv_abs_25,Entry filter,VXN ≥ 25%,51,2.617359842630322,6,0.11764705882352941,0.04957160342717258,40.5,0.16666666666666666,0.01603298560977162,0.06186570305624375,0.2879872604102925,-0.18446253141906077,0.08691730231842038,0.004751036180834944,0.011281949428936677,0.06188028635016567,0.21131438364062888,0.04370802320199796,0.05677873152912912,0.7820349417371621,-0.09217454202995634,0.47418758194418836,0.008935714698060204,0.034772308503937754,0.05679903549187125,0.625125036291015,0.06652817410760559,0.06597998121157062,1.009196750174949,-0.07803877687437488,0.8525014969763197,0.039657766161707464,0.026870407945898123,0.0659753863041139,0.4197104770709905,0.011281949428936677,-0.18446253141906077,True,-0.023201812274380673,-0.0073036213998236565,-0.014261937436426564,0.011281949428936677,25
iv_rv_10,Entry filter,VXN − 21d RV ≥ 10pp,43,2.2067935928059574,3,0.06976744186046512,0.02631578947368421,43.0,0.3333333333333333,0.015491890589896862,0.05363646290321129,0.31337455772298106,-0.15617677224826465,0.09919458807402136,0.004751036180834944,0.010740854409061917,0.05363887241372269,0.22498539827802383,0.03216583798125461,0.04755783511859394,0.6896764267402329,-0.07705081055668184,0.41746268142879633,0.008935714698060204,0.023230123283194404,0.04757990650637573,0.5023772988025565,0.05633167985657117,0.026950083485791063,2.047162990720878,-0.025394382292173057,2.2182732861327943,0.039657766161707464,0.016673913694863707,0.02687547004600947,0.6055704970520949,0.010740854409061917,-0.15617677224826465,True,-0.023742907294255433,-0.018845806620567007,-0.02445843168746098,0.010740854409061917,26
iv_abs_30,Entry filter,VXN ≥ 30%,33,1.6935857805255023,2,0.06060606060606061,0.031211750305997554,76.5,0.5,0.014286533404437085,0.05488194822142891,0.28585438397375673,-0.15617677224826365,0.09147668503307745,0.004751036180834944,0.00953549722360214,0.054886539735795874,0.19946430920735853,0.03300970800850833,0.05231333378708942,0.6471481836720075,-0.08938376103327639,0.36930318915780747,0.008935714698060204,0.024073993310448127,0.052324237685572136,0.47698785813142386,0.05935258930648768,0.0428283047771345,1.3678162387352357,-0.056327674862250765,1.0537021002843512,0.039657766161707464,0.019694823144780216,0.04280793500568452,0.4598453299458082,0.00953549722360214,-0.15617677224826365,True,-0.02494826447971521,-0.018001936593313284,-0.02143752223754447,0.00953549722360214,27
iv_pct_85,Entry filter,VXN ≥ trailing 85th pct,42,2.155472811577912,6,0.14285714285714285,0.04467564259485924,36.5,0.16666666666666666,0.014236485086036144,0.06029423754149872,0.2645392357676029,-0.1561767722482641,0.09115622560956328,0.004751036180834944,0.0094854489052012,0.060301249677160815,0.18589750317779427,0.03167527073069176,0.06423350886966465,0.5176472251822719,-0.09061330493826214,0.34956533979500226,0.008935714698060204,0.022739556032631558,0.06425248053159145,0.37903353377908483,0.06071991843112867,0.05262030864055802,1.1466291762381624,-0.05632767486225021,1.0779766532103399,0.039657766161707464,0.021062152269421208,0.05261421569798038,0.40748986012282495,0.0094854489052012,-0.1561767722482641,True,-0.02499831279811615,-0.019336373871129853,-0.02007019311290348,0.0094854489052012,28
iv_exit_20,Assignment exit,VXN ≤ 20% OR 126d,95,4.875474216664325,13,0.1368421052631579,0.16421868625051,61.92307692307692,0.3076923076923077,0.02928489500014675,0.0674969804342728,0.4613856156489624,-0.2357625285423981,0.1242135261324207,0.004751036180834944,0.024533858819311805,0.06750665660755738,0.39109915128316136,0.08285161456105605,0.08185205653505406,1.0136457184574932,-0.12225740416121422,0.6776817741999831,0.008935714698060204,0.07391589986299585,0.08188727732751346,0.9045670608548693,0.07139325890498838,0.08697980472020389,0.8362827090208185,-0.13321845002761667,0.5359111961608043,0.039657766161707464,0.03173549274328091,0.0869486734356291,0.3892352077331066,0.024533858819311805,-0.2357625285423981,False,-0.009949902884005546,0.03183996995923444,-0.009396852639043773,-inf,12
fixed_63,Assignment exit,Fixed hold 63d,100,5.132078122804553,9,0.09,0.11566707466340269,63.0,1.0,0.03162256119345308,0.0626374812903038,0.5283405326364584,-0.20689183409433798,0.15284586427434305,0.004751036180834944,0.026871525012618136,0.06264308020083695,0.452621109467939,0.06516353844863776,0.07502088646767356,0.8791584599663778,-0.10291482116558215,0.633179339094362,0.008935714698060204,0.056227823750577555,0.07504594325619529,0.7603181685291186,0.05379838964213857,0.07857093111171119,0.7061421045832412,-0.11614248329024401,0.4632102579354581,0.039657766161707464,0.014140623480431103,0.07850192917767712,0.21128169808502353,0.026871525012618136,-0.20689183409433798,False,-0.0076122366906992145,0.014151893846816144,-0.026991721901893584,-inf,9
fixed_126,Assignment exit,Fixed hold 126d,84,4.310945623155824,10,0.11904761904761904,0.25703794369645044,126.0,1.0,0.048773319487757094,0.07627920276304942,0.6624427325924473,-0.22848231985965117,0.21346649280223023,0.004751036180834944,0.04402228330692215,0.07629283455894816,0.6001908831426922,0.07177841471312685,0.0841795078417362,0.8657777768257316,-0.11065035525163902,0.6486957457107995,0.008935714698060204,0.06284270001506664,0.08421740304651097,0.759751452298096,0.06430200932765562,0.0852834588673167,0.7734019817512783,-0.13507543096101593,0.4760451909734332,0.039657766161707464,0.024644243165948154,0.08527085266721754,0.3173672303890506,0.04402228330692215,-0.22848231985965117,False,0.0095385216036048,0.020766770111305233,-0.016488102216376532,-inf,1
price_be_plus5_126,Assignment exit,Breakeven +5% OR 126d,99,5.080757341576507,14,0.1414141414141414,0.12647898816809466,44.285714285714285,0.07142857142857142,0.04330724010211773,0.07030264847225322,0.638202289830531,-0.20265092782657745,0.2137036359348858,0.004751036180834944,0.03855620392128278,0.07031212166848046,0.5706977761019207,0.060690442935656286,0.07441971217194471,0.8290655923653866,-0.10050465519044083,0.6038570334941924,0.008935714698060204,0.05175472823759608,0.07444993415088473,0.709233264979666,0.09224746505926462,0.07844204980544259,1.1641506728999576,-0.07503041933785648,1.2294675396105819,0.039657766161707464,0.05258969889755716,0.07843805677046994,0.6683253699588709,0.03855620392128278,-0.20265092782657745,False,0.004072442217965433,0.00967879833383467,0.011457353515232471,-inf,2
