offset,ExcessCAGR,ExcessSharpe,MaxDD
76,0.03787630322145685,0.27555997468298926,-0.17815489497670234
77,-0.04379926117936317,-0.07155836495913975,-0.17910046032499327
78,-0.05551368942301782,-0.12809894250547676,-0.18211158818807716
79,-0.026058142828546238,0.004721023158272502,-0.17815489497670156
80,-0.06779062861130003,-0.18312184653293417,-0.17815489497670178
81,-0.1321937867205356,-0.5336146838794661,-0.19844548477759028
82,-0.11562505117180977,-0.44515388657660254,-0.22207024423151045
83,-0.020920477443443164,0.00993353838336565,-0.15931026922163527
84,-0.05806794637174317,-0.166004618369248,-0.17381551590256528
85,-0.06649592179684372,-0.19089929464036845,-0.18117518656961018
86,-0.11586717746637731,-0.43673584941045823,-0.18176804016039205
87,-0.1972673856524455,-0.854523528750891,-0.24112272802982837
88,-0.1972190003249179,-0.8947884004552451,-0.24107710154784978
89,-0.2680377104788303,-1.3498157294085615,-0.30801966375439893
90,-0.21033336749691856,-0.9616147293153539,-0.2534735730392852
91,-0.15523026710034915,-0.6684945235482254,-0.2001998126054505
92,-0.15047457690276922,-0.611467595002846,-0.19895930488254887
93,-0.1770176970387437,-0.7419431451906665,-0.23387682511422803
94,-0.08817373647491711,-0.3023235146280255,-0.1493960328454843
95,-0.07829253312107287,-0.23075719965895194,-0.15189222945260072
96,-0.117270465073543,-0.4385289406379218,-0.17437786411538136
97,-0.1035351366596301,-0.3873044940869297,-0.17040457388687646
98,-0.11241720602134264,-0.43981050297659047,-0.20089598276118648
99,-0.08262290946290884,-0.2893742518427653,-0.17738160411072312
100,-0.08132427959428101,-0.28224010034091357,-0.19227703957375641
101,-0.07155857249529296,-0.24955252972224218,-0.20144819214939547
102,0.020820378616040136,0.2025170240866895,-0.13913204903089094
103,-0.009184151382180983,0.061025398204547616,-0.13852216465700606
104,-0.12904110262556878,-0.5621127330481566,-0.18462611970330955
105,-0.12654495419891443,-0.5268255666183376,-0.1624562381087119
106,-0.09716395059211991,-0.4020272163023041,-0.14284762678391538
107,-0.11555324705505832,-0.4859018926040833,-0.16509335152154248
108,-0.05577726006687356,-0.17571691514398044,-0.13827782747817097
109,-0.03592857388051429,-0.07848522950217826,-0.13541888835891114
110,-0.004600146263002647,0.08688406690583335,-0.16976893922158787
111,-0.0115517757009308,0.05122344943425542,-0.14346371958915694
112,-0.12549692844972582,-0.5274691434217522,-0.19861757499959265
113,-0.07048129799982428,-0.23496787350663378,-0.18753038694909396
114,0.0350230432723746,0.26906317166732413,-0.15109196884191634
115,0.14326326405875767,0.7328892402268298,-0.13128708342740203
116,0.14782108964246699,0.7757044671559742,-0.1280254087953262
117,0.19637238376879407,0.9753283395482142,-0.09398733123654202
118,0.2532094589668381,1.1612225649922896,-0.09398733123654202
119,0.27601051710647884,1.246672838760978,-0.09398733123654202
120,0.31491765361146506,1.3587583443674185,-0.09398733123654202
121,0.23868478041369223,1.1016366090222844,-0.11033722209768304
122,0.26398357927724625,1.1943851280130744,-0.09398733123654202
123,0.3393241311334405,1.5236964977186522,-0.09398733123654202
124,0.2291087242434735,1.056378100722659,-0.09828908236318634
125,0.19136215395395206,0.8924607298115532,-0.09569111344617154
126,0.24472017307882687,1.0863934427967512,-0.09569111344617132
127,0.15015612842009896,0.746543809353841,-0.13143067954475884
128,0.07151495839946875,0.4242334406415161,-0.14560386499012168
129,0.12708127068489983,0.6512672582518981,-0.1130744377535845
130,0.10254178891824628,0.5376895343942855,-0.09569111344617187
131,0.14235720595011658,0.7114652902243769,-0.0956911134461721
132,0.10780752230176116,0.5805107075167,-0.09569111344617154
133,0.18088738383179148,0.8739880462551015,-0.09826910881216722
134,0.30708098760670266,1.4016480322156837,-0.09569111344617176
135,0.2526987879532592,1.1704497384383539,-0.09921560647518735
136,0.17033642395923332,0.809680444969035,-0.09921560647518801
137,0.11464460497984796,0.59749608386032,-0.11340938781360055
138,0.10424426333819725,0.5535758509152288,-0.11340938781360044
139,0.05422675859336046,0.35000535431666346,-0.11581155711867497
140,0.008913517677943128,0.14986097524625713,-0.14482979855287093
141,0.035356078292230864,0.2684309733359585,-0.12939713192010427
142,0.02333702725809972,0.2147281473733517,-0.15325677696970208
143,-0.05647694901615663,-0.14278121856668405,-0.1927940916955866
144,-0.09794893728118537,-0.3350706702017985,-0.22098187774989964
145,-0.0721706188156892,-0.21033976509199928,-0.2015280920016076
146,-0.010711774290060094,0.06110857499180217,-0.17581076510442273
147,-0.0020128814271942463,0.10032249773566716,-0.17810362589166118
148,0.05368826484175693,0.34522622463262753,-0.15277340735699974
149,0.07675377335907951,0.44291120941958606,-0.15060705761147042
150,0.13026231750987094,0.6539544718865902,-0.1506070576114703
151,0.13288716742447582,0.6796226199794729,-0.15060705761147053
152,0.10900787382202215,0.5723230470026851,-0.16555885170991702
153,0.08307875016333832,0.46555119333278844,-0.1656551129566235
154,0.11577037587705985,0.5959208995122884,-0.15632881196318993
155,0.10540593131009324,0.556667401130436,-0.17180616687967787
156,0.109347242864406,0.5739946005497987,-0.17586461883920512
157,0.11595311094375771,0.604437236837326,-0.1470220953290794
158,0.1613551523617951,0.7831330096790518,-0.14141526204501886
159,0.20548638253802687,0.9451557926330822,-0.11655963803576774
160,0.2444904844275082,1.084237011737365,-0.10962442262598693
161,0.18414785361085562,0.8549693879621136,-0.12822280512931683
162,0.1344513835137635,0.6521595337298867,-0.13276438722512884
163,0.059407618834891984,0.3638131016491788,-0.16522587150787127
164,0.04071983687687064,0.287088819816171,-0.18810386122659906
165,0.08583906466269298,0.4730901910717745,-0.13580728600528702
166,0.05248853486984073,0.337685171195176,-0.14282844418235874
167,0.10106450520639498,0.5291416064909434,-0.11365191160398336
168,0.12658847618400948,0.6591474302398155,-0.09921560647518779
169,0.0886428748375232,0.4963902906293127,-0.1293188949835098
170,0.11584600355591212,0.6095921285385958,-0.1365395644263161
