name,family,flow_window,trend_window,quantile,hold,matched_control,eligible,score,development_excess_cagr,validation_excess_cagr,development_excess_sharpe,validation_excess_sharpe,validation_total_cagr,validation_max_dd,validation_ann_turnover,validation_sharpe_add,validation_dd_reduction,validation_cagr_retention
extreme_inflow_q90_hold5,extreme_inflow_hold,,,0.9,5.0,buy_hold,True,0.24794542558878407,0.615928009377066,0.04507181175176078,1.628076029458823,0.3330000531690439,0.08828289669404055,-0.11321491707938203,14.0,0.3769722415424578,0.20825488776676226,
flow_above_mean_w5_ma50,flow_above_mean,5.0,50.0,,,price_trend_ma50,True,0.21713282491178687,0.20120504372198278,0.06681420531487503,0.6948235181211914,0.45034163385183246,0.11092127145421338,-0.16625768835468924,20.0,0.2762451450019556,-0.010376650589615233,2.0126054500197723
extreme_inflow_q80_hold5,extreme_inflow_hold,,,0.8,5.0,buy_hold,True,0.20799140671663874,0.4963671259149218,0.10703780409722774,1.2287216213806151,0.5033276254474003,0.15280565200675134,-0.20687008973346244,24.0,0.5472998138208142,0.11459971511268185,
flow_above_mean_w10_ma100,flow_above_mean,10.0,100.0,,,price_trend_ma100,True,0.20717622368105,0.02533414274991297,0.03831452983718853,0.24237861250052795,0.3037244234923756,0.08124663800939702,-0.12325214763034109,10.0,0.09882433956381853,0.05490274734636147,1.309374915451074
extreme_inflow_q70_hold3_ma20,extreme_inflow_hold,,20.0,0.7,3.0,price_trend_ma20,True,0.17615247354898966,0.06265081163752151,0.1287779919467178,0.34721910178163023,0.6684749608279078,0.1754408016551685,-0.11277047329337198,28.0,1.3317723836540694,0.13293938526072746,
extreme_inflow_q70_hold3_ma100,extreme_inflow_hold,,100.0,0.7,3.0,price_trend_ma100,True,0.1590217805696159,0.04182823751792997,0.13378293798723884,0.2860025155292866,0.6772091826362837,0.18065329270904007,-0.12793444338540705,24.0,0.47230909870772664,0.05022045159129551,2.911417575697087
extreme_inflow_q80_hold3_ma100,extreme_inflow_hold,,100.0,0.8,3.0,price_trend_ma100,True,0.09455212907871718,0.010852818455258983,0.13130208165501256,0.18732441812558162,0.73642340029164,0.17806916231180114,-0.1282077702143959,22.0,0.5315233163630829,0.04994712476230667,2.8697715998967355
extreme_inflow_q90_hold10_ma50,extreme_inflow_hold,,50.0,0.9,10.0,price_trend_ma50,True,0.09183918923732437,0.40411371730204015,0.02842151632358214,1.1588671462451132,0.24159032057444982,0.0709461233310198,-0.13617416423525885,14.0,0.06749383172457296,0.01970687352981515,1.2872783786356568
extreme_inflow_q80_hold10,extreme_inflow_hold,,,0.8,10.0,buy_hold,True,0.027754483935295504,0.3332507521538508,0.04015164620243872,0.8807997383249463,0.28321970584001477,0.08316240949561782,-0.3221612127217467,16.0,0.32719189421342865,-0.0006914078756024011,
extreme_inflow_q90_hold10,extreme_inflow_hold,,,0.9,10.0,buy_hold,True,0.010535612338440165,0.5396908593303007,0.008214040984230397,1.3417615046388098,0.14571289357604741,0.049905441058832434,-0.19246894457543695,10.0,0.18968508194946132,0.12900086027070734,
