candidate,split,cost,family,trend_window,quantile,hold,TotalReturn,TotalCAGR,TotalSharpe,MaxDD,Calmar,ExcessReturn,ExcessCAGR,ExcessSharpe,AnnTurnover,Trades,TimeInMarket,NPeriods
unexpected_q70_hold5_ma100,development,base,unexpected,100,0.7,5.0,0.36472108759374366,0.4750436689282316,1.3624992750782257,-0.13166697420928752,3.607918172199654,0.31242424635061483,0.40472983485947456,1.2110378104355861,23.75,19,0.4965753424657534,292
unexpected_q70_hold5_ma100,validation,base,unexpected,100,0.7,5.0,0.16871406347014983,0.16871406347014983,0.7765478348208728,-0.14423262887917399,1.1697357579988668,0.12231700753642527,0.12231700753642527,0.605385340379101,25.0,25,0.4273972602739726,365
unexpected_q70_hold5_ma100,development,stress,unexpected,100,0.7,5.0,0.32641126880379034,0.42346814768432317,1.2521292865104428,-0.14848023830275203,2.8520168914389084,0.275577670144288,0.35560647643757437,1.1006805395399575,23.75,19,0.4965753424657534,292
unexpected_q70_hold5_ma100,validation,stress,unexpected,100,0.7,5.0,0.1256066558429605,0.1256066558429605,0.6171150311060557,-0.15832590871848573,0.7933423964507141,0.08091635382579665,0.08091635382579665,0.44623098401131767,25.0,25,0.4273972602739726,365
unexpected_q70_hold10_ma50,development,base,unexpected,50,0.7,10.0,0.3822403789846589,0.49875094406713005,1.3889437683432488,-0.15404241623373505,3.2377507199728304,0.32927481225146393,0.42731052898032984,1.2407182296693882,12.5,10,0.5102739726027398,292
unexpected_q70_hold10_ma50,validation,base,unexpected,50,0.7,10.0,0.09067918197168345,0.09067918197168345,0.49381943210582074,-0.13963941416549497,0.6493809968596271,0.047371956065104914,0.047371956065104914,0.3162236776962123,26.0,26,0.41643835616438357,365
unexpected_q70_hold10_ma50,development,stress,unexpected,50,0.7,10.0,0.3616715207639791,0.47092470725223445,1.3319605292218752,-0.1628588855765042,2.891611996393123,0.3094914884849487,0.4008071502833417,1.1837552004468068,12.5,10,0.5102739726027398,292
unexpected_q70_hold10_ma50,validation,stress,unexpected,50,0.7,10.0,0.048784504107959537,0.048784504107959537,0.3218065454168132,-0.15069996749986703,0.32371940696007506,0.007136347394261389,0.007136347394261389,0.14480177134851036,26.0,26,0.41643835616438357,365
unexpected_q70_hold10_ma100,development,base,unexpected,100,0.7,10.0,0.23193733849522546,0.2978836842625776,0.9465431773916939,-0.1947795524983048,1.5293375533613578,0.1847123008250331,0.23599331598957884,0.7997558248273824,18.75,15,0.523972602739726,292
unexpected_q70_hold10_ma100,validation,base,unexpected,100,0.7,10.0,0.11722417373402405,0.11722417373402405,0.5725071370593048,-0.13402442998571873,0.8746478067208727,0.07286519896185584,0.07286519896185584,0.40806772285553244,19.0,19,0.4849315068493151,365
unexpected_q70_hold10_ma100,development,stress,unexpected,100,0.7,10.0,0.2045066728768652,0.2618609852924181,0.8617773148095516,-0.21037079065970288,1.2447592390143463,0.1583295990369855,0.20168376175150526,0.715051457011308,18.75,15,0.523972602739726,292
unexpected_q70_hold10_ma100,validation,stress,unexpected,100,0.7,10.0,0.08570793831133572,0.08570793831133572,0.45593452624164615,-0.15081592715909897,0.5682950065407917,0.04259696730983897,0.04259696730983897,0.29182201366982646,19.0,19,0.4849315068493151,365
breadth_q70_hold5_ma50,development,base,breadth,50,0.7,5.0,0.20265655701827479,0.25943868591769936,0.8004690608291117,-0.21701640125964328,1.1954796246358408,0.1565466597502474,0.1993721174658254,0.6699318566391171,26.25,21,0.5034246575342466,292
breadth_q70_hold5_ma50,validation,base,breadth,50,0.7,5.0,0.206655684207659,0.206655684207659,0.9361046243084163,-0.11666700243406525,1.7713293381687008,0.15875651569185156,0.15875651569185156,0.7587281539583353,24.0,24,0.3917808219178082,365
breadth_q70_hold5_ma50,development,stress,breadth,50,0.7,5.0,0.1653229862900878,0.21075951683980043,0.695007634489441,-0.23673414432070128,0.8902793361074552,0.12063975404883998,0.15300855842201022,0.5645403529477788,26.25,21,0.5034246575342466,292
breadth_q70_hold5_ma50,validation,stress,breadth,50,0.7,5.0,0.16400846403317626,0.16400846403317626,0.7786018783064902,-0.12328456041401947,1.330324441944685,0.11779772228972418,0.11779772228972418,0.6011999716426555,24.0,24,0.3917808219178082,365
breadth_q70_hold5_ma100,development,base,breadth,100,0.7,5.0,0.13416833398137928,0.17043391337903158,0.6078267556989425,-0.26160531987636937,0.6514925363886943,0.09067544845858744,0.11460098207803848,0.47550216598332457,31.25,25,0.4931506849315068,292
breadth_q70_hold5_ma100,validation,base,breadth,100,0.7,5.0,0.2255493626899856,0.2255493626899856,0.9952313759515666,-0.09569111344617165,2.357056518282255,0.1769017398139472,0.1769017398139472,0.819941283405819,16.0,16,0.41643835616438357,365
breadth_q70_hold5_ma100,development,stress,breadth,100,0.7,5.0,0.09240124821518192,0.1168059900170213,0.480789245072269,-0.2844965874065959,0.4105707948267404,0.05050475463458248,0.06352457090167452,0.34851904884036655,31.25,25,0.4931506849315068,292
breadth_q70_hold5_ma100,validation,stress,breadth,100,0.7,5.0,0.19660711150055943,0.19660711150055943,0.8929674043881313,-0.09569111344617165,2.054601565600501,0.14910528033289117,0.14910528033289117,0.7173680924918824,16.0,16,0.41643835616438357,365
breadth_q70_hold10_ma50,development,base,breadth,50,0.7,10.0,0.2502158390406102,0.32199936295667886,0.8903706217342798,-0.2233239539433156,1.4418487460526028,0.20228880077410727,0.2589573049978149,0.7694021826198325,18.75,15,0.6232876712328768,292
breadth_q70_hold10_ma50,validation,base,breadth,50,0.7,10.0,0.013567722735285503,0.013567722735285503,0.174844107431348,-0.15506074968770733,0.08749940112253375,-0.02668604267150243,-0.02668604267150243,0.0042060808877060615,28.0,28,0.4410958904109589,365
breadth_q70_hold10_ma50,development,stress,breadth,50,0.7,10.0,0.22237849688618727,0.28530775210172066,0.8205470382261579,-0.2346485503014788,1.2158939475021449,0.17551503466995189,0.22401075849521268,0.699616240240349,18.75,15,0.6232876712328768,292
breadth_q70_hold10_ma50,validation,stress,breadth,50,0.7,10.0,-0.028230686602241928,-0.028230686602241928,-0.0020141764626012593,-0.17134786873923047,-0.1647565669182931,-0.0668288405294476,-0.0668288405294476,-0.17232483208705934,28.0,28,0.4410958904109589,365
breadth_q70_hold10_ma100,development,base,breadth,100,0.7,10.0,0.16468002986424413,0.20992454241175196,0.6734110951004352,-0.22306073696643713,0.9411093376031403,0.12002115795481316,0.15221303362579452,0.551353073994407,22.5,18,0.6198630136986302,292
breadth_q70_hold10_ma100,validation,base,breadth,100,0.7,10.0,0.12696194634517677,0.12696194634517677,0.6060694478238079,-0.11340938781360022,1.1195012052604636,0.08221708406084693,0.08221708406084693,0.4423946529005891,15.0,15,0.4849315068493151,365
breadth_q70_hold10_ma100,development,stress,breadth,100,0.7,10.0,0.13360411035113984,0.16970612745352898,0.5888681003001587,-0.2426667607773625,0.6993381660920092,0.09013278164866723,0.11390781146408058,0.46687179134396495,22.5,18,0.6198630136986302,292
breadth_q70_hold10_ma100,validation,stress,breadth,100,0.7,10.0,0.10193578119119229,0.10193578119119229,0.515504654431419,-0.11741610179898399,0.8681584521150774,0.05818191245332249,0.05818191245332249,0.3517271169424247,15.0,15,0.4849315068493151,365
absorption_q70_hold5_ma50,development,base,absorption,50,0.7,5.0,0.16605370214754211,0.2117085997588921,1.489111921143192,-0.08455637476478339,2.503756817245504,0.12135503778663304,0.15392856199475613,1.1270088733575088,12.5,10,0.11301369863013698,292
absorption_q70_hold5_ma50,validation,base,absorption,50,0.7,5.0,0.20404577381141586,0.20404577381141586,1.6106769012696756,-0.09284725287816997,2.1976500918035304,0.15625189620196012,0.15625189620196012,1.2721411418939585,10.0,10,0.0958904109589041,365
absorption_q70_hold5_ma50,development,stress,absorption,50,0.7,5.0,0.14872103844461515,0.1892364692972177,1.3520829248504564,-0.08731207120014617,2.1673574649652902,0.10468471784830546,0.13252535178189673,0.9895171704473211,12.5,10,0.11301369863013698,292
absorption_q70_hold5_ma50,validation,stress,absorption,50,0.7,5.0,0.1860646218134283,0.1860646218134283,1.4798252670702694,-0.09559846633993274,1.9463138786328695,0.1389825096964521,0.1389825096964521,1.1425341015586936,10.0,10,0.0958904109589041,365
