candidate,split,cost,name,family,flow_window,trend_window,quantile,hold,matched_control,TotalReturn,TotalCAGR,TotalSharpe,MaxDD,Calmar,ExcessReturn,ExcessCAGR,ExcessSharpe,AnnTurnover,Trades,TimeInMarket,NPeriods
flow_riskoff_w5_q30_ma100,development,base,flow_riskoff_w5_q30_ma100,flow_riskoff,5.0,100.0,0.3,,price_trend_ma100,0.13236052559538525,0.16810236079078478,0.5994728617491272,-0.2727927735334347,0.6162273238157514,0.08893596790400604,0.11237937703732959,0.4689943347725748,33.75,27,0.5,292
flow_riskoff_w5_q30_ma100,validation,base,flow_riskoff_w5_q30_ma100,flow_riskoff,5.0,100.0,0.3,,price_trend_ma100,0.011055098598972801,0.011055098598972801,0.15550912096567165,-0.1433759488688734,0.07710566999687937,-0.02909842572037946,-0.02909842572037946,-0.043739202574459776,16.0,16,0.3589041095890411,365
flow_riskoff_w5_q30_ma100,development,stress,flow_riskoff_w5_q30_ma100,flow_riskoff,5.0,100.0,0.3,,price_trend_ma100,0.08731162059001463,0.11030561711563402,0.46389900463037004,-0.2954421386490471,0.37335776683726557,0.04560890401224915,0.05733252302577463,0.3335606517530843,33.75,27,0.5,292
flow_riskoff_w5_q30_ma100,validation,stress,flow_riskoff_w5_q30_ma100,flow_riskoff,5.0,100.0,0.3,,price_trend_ma100,-0.012975981437419404,-0.012975981437419404,0.03745175973928825,-0.14596619585555382,-0.08889716801457415,-0.05217770204682182,-0.05217770204682182,-0.16153980688308028,16.0,16,0.3589041095890411,365
flow_sign_w10,development,base,flow_sign_w10,flow_sign,10.0,,,,buy_hold,0.32856015893183077,0.4263513935559542,1.0133716094366156,-0.21320457508608126,1.9997291023600923,0.27763770321950765,0.35834362620559235,0.9044571970308828,15.0,12,0.75,292
flow_sign_w10,validation,base,flow_sign_w10,flow_sign,10.0,,,,buy_hold,-0.09444009634546924,-0.09444009634546924,-0.23750760340084603,-0.1989237538223294,-0.47475524933949964,-0.1304160023053379,-0.1304160023053379,-0.38906398157403344,23.0,23,0.5753424657534246,365
flow_sign_w10,development,stress,flow_sign_w10,flow_sign,10.0,,,,buy_hold,0.30482303749650463,0.3945674355722615,0.9629833726096881,-0.21785565385918693,1.8111415911532591,0.2548072211303305,0.32807090261790095,0.8541000293047847,15.0,12,0.75,292
flow_sign_w10,validation,stress,flow_sign_w10,flow_sign,10.0,,,,buy_hold,-0.12519524995246745,-0.12519524995246745,-0.3663252222483002,-0.2061188197453907,-0.6073935902947412,-0.15995248643399607,-0.15995248643399607,-0.517795703121645,23.0,23,0.5753424657534246,365
flow_confirm_w10_ma20,development,base,flow_confirm_w10_ma20,flow_confirm,10.0,20.0,,,price_trend_ma20,0.1483725407416865,0.1887854998647469,0.6573437141264022,-0.23910902715018478,0.7895373174103143,0.10433860115985594,0.13208181960839704,0.5218740048108607,28.75,23,0.5034246575342466,292
flow_confirm_w10_ma20,validation,base,flow_confirm_w10_ma20,flow_confirm,10.0,20.0,,,price_trend_ma20,0.045539535673392084,0.045539535673392084,0.3217869887692078,-0.13374938090934896,0.34048408571144956,0.004020325986491491,0.004020325986491491,0.12008803801029017,26.0,26,0.35342465753424657,365
flow_confirm_w10_ma20,development,stress,flow_confirm_w10_ma20,flow_confirm,10.0,20.0,,,price_trend_ma20,0.10944891363709264,0.13863397036935998,0.5379420622940084,-0.25054625772866923,0.5533268452147251,0.06690253350427966,0.08431616683898402,0.40245484547625887,28.75,23,0.5034246575342466,292
flow_confirm_w10_ma20,validation,stress,flow_confirm_w10_ma20,flow_confirm,10.0,20.0,,,price_trend_ma20,0.005421032004834014,0.005421032004834014,0.12726683751012488,-0.14037545122129902,0.03861809139468317,-0.034509249766973005,-0.034509249766973005,-0.07381251436130838,26.0,26,0.35342465753424657,365
flow_above_mean_w10_ma20,development,base,flow_above_mean_w10_ma20,flow_above_mean,10.0,20.0,,,price_trend_ma20,0.08026638751951332,0.10132013426271769,0.46116086153933883,-0.2230557758471583,0.4542367660192041,0.038837894718344756,0.04878080279355945,0.30689395556461957,21.25,17,0.3972602739726027,292
flow_above_mean_w10_ma20,validation,base,flow_above_mean_w10_ma20,flow_above_mean,10.0,20.0,,,price_trend_ma20,0.013678785012513517,0.013678785012513517,0.16487814672800644,-0.12278457712250246,0.11140474913934965,-0.02657753814017383,-0.02657753814017383,-0.07443780016770245,14.0,14,0.27671232876712326,365
flow_above_mean_w10_ma20,development,stress,flow_above_mean_w10_ma20,flow_above_mean,10.0,20.0,,,price_trend_ma20,0.05313493245240375,0.06685408181314201,0.3609094024288783,-0.2312661802059739,0.28907850578757077,0.012743535707652631,0.01595471388247094,0.20650473124214747,21.25,17,0.3972602739726027,292
flow_above_mean_w10_ma20,validation,stress,flow_above_mean_w10_ma20,flow_above_mean,10.0,20.0,,,price_trend_ma20,-0.007467866784997668,-0.007467866784997668,0.040741980370445234,-0.12940465507801335,-0.05770941378032778,-0.046886661786386674,-0.046886661786386674,-0.19790405089866747,14.0,14,0.27671232876712326,365
flow_riskoff_w10_q10_ma20,development,base,flow_riskoff_w10_q10_ma20,flow_riskoff,10.0,20.0,0.1,,price_trend_ma20,0.15765810590937845,0.20081304249839893,0.680911833000977,-0.24585197753341081,0.8168046664221312,0.11326881026782654,0.1435365557167665,0.5472430291334681,31.25,25,0.5171232876712328,292
flow_riskoff_w10_q10_ma20,validation,base,flow_riskoff_w10_q10_ma20,flow_riskoff,10.0,20.0,0.1,,price_trend_ma20,-0.0012183659664062318,-0.0012183659664062318,0.10866072141163355,-0.18746991065377494,-0.0064989947568511236,-0.04088480929408567,-0.04088480929408567,-0.06809344821471995,37.0,37,0.4246575342465753,365
flow_riskoff_w10_q10_ma20,development,stress,flow_riskoff_w10_q10_ma20,flow_riskoff,10.0,20.0,0.1,,price_trend_ma20,0.11497509420617047,0.1457278186409483,0.5523980175400843,-0.25944225059719117,0.5616965559985241,0.0722169662145784,0.09107183182154599,0.41882203811891855,31.25,25,0.5171232876712328,292
flow_riskoff_w10_q10_ma20,validation,stress,flow_riskoff_w10_q10_ma20,flow_riskoff,10.0,20.0,0.1,,price_trend_ma20,-0.055376587817991374,-0.055376587817991374,-0.13282683379854104,-0.21500640563887685,-0.2575578511414282,-0.09289772594191037,-0.09289772594191037,-0.3088025239601165,37.0,37,0.4246575342465753,365
flow_riskoff_w10_q20_ma20,development,base,flow_riskoff_w10_q20_ma20,flow_riskoff,10.0,20.0,0.2,,price_trend_ma20,0.17646233718536375,0.22524386187237,0.7377131818858549,-0.24085984500541846,0.9351656847047413,0.13135458208752504,0.16680538596698402,0.6034296331295045,28.75,23,0.5068493150684932,292
flow_riskoff_w10_q20_ma20,validation,base,flow_riskoff_w10_q20_ma20,flow_riskoff,10.0,20.0,0.2,,price_trend_ma20,0.012632318497103778,0.012632318497103778,0.16740720800568493,-0.18316307099134,0.06896760590840409,-0.02758259427175036,-0.02758259427175036,-0.013721637969580557,33.0,33,0.40821917808219177,365
flow_riskoff_w10_q20_ma20,development,stress,flow_riskoff_w10_q20_ma20,flow_riskoff,10.0,20.0,0.2,,price_trend_ma20,0.136527704139926,0.1734782195787843,0.619053646448894,-0.25227075840019864,0.6876667778656335,0.09294602084828907,0.11750221228658364,0.4848230547758794,28.75,23,0.5068493150684932,292
flow_riskoff_w10_q20_ma20,validation,stress,flow_riskoff_w10_q20_ma20,flow_riskoff,10.0,20.0,0.2,,price_trend_ma20,-0.036433597358430214,-0.036433597358430214,-0.053684762875484945,-0.19715256018387395,-0.18479900704535865,-0.07470498612785992,-0.07470498612785992,-0.23426209797909298,33.0,33,0.40821917808219177,365
flow_riskoff_w10_q30_ma20,development,base,flow_riskoff_w10_q30_ma20,flow_riskoff,10.0,20.0,0.3,,price_trend_ma20,0.22889078273772756,0.2938728755981017,0.8988928138805036,-0.20705714005459697,1.4192839499309857,0.18178108558929806,0.23217188055435778,0.7617087544847475,26.25,21,0.476027397260274,292
flow_riskoff_w10_q30_ma20,validation,base,flow_riskoff_w10_q30_ma20,flow_riskoff,10.0,20.0,0.3,,price_trend_ma20,0.04757888908738872,0.04757888908738872,0.3259023671954375,-0.15557990951576073,0.3058164080148718,0.005979612166728154,0.005979612166728154,0.13283247906642912,28.0,28,0.37534246575342467,365
flow_riskoff_w10_q30_ma20,development,stress,flow_riskoff_w10_q30_ma20,flow_riskoff,10.0,20.0,0.3,,price_trend_ma20,0.19085746088516764,0.2440124518183575,0.7888573667946546,-0.213053411744628,1.1453111678438546,0.14520096408581495,0.18468293112515632,0.6516017886599922,26.25,21,0.476027397260274,292
flow_riskoff_w10_q30_ma20,validation,stress,flow_riskoff_w10_q30_ma20,flow_riskoff,10.0,20.0,0.3,,price_trend_ma20,0.004264337258683248,0.004264337258683248,0.12514511385933322,-0.16575874654170675,0.02572616738272869,-0.035619490225551664,-0.035619490225551664,-0.06695009508889647,28.0,28,0.37534246575342467,365
flow_confirm_w10_ma50,development,base,flow_confirm_w10_ma50,flow_confirm,10.0,50.0,,,price_trend_ma50,0.20624098561354143,0.2641325120606133,0.7814437699524431,-0.247041359178094,1.0691833664588857,0.15999388697315076,0.20384237322433996,0.659853791123009,18.75,15,0.6164383561643836,292
flow_confirm_w10_ma50,validation,base,flow_confirm_w10_ma50,flow_confirm,10.0,50.0,,,price_trend_ma50,-0.0820726008260787,-0.0820726008260787,-0.32074641134253645,-0.1880063255588047,-0.43654169923345476,-0.11853749593313079,-0.11853749593313079,-0.5204373788489074,22.0,22,0.3780821917808219,365
flow_confirm_w10_ma50,development,stress,flow_confirm_w10_ma50,flow_confirm,10.0,50.0,,,price_trend_ma50,0.17940981644912135,0.22908218189016671,0.7114310500119998,-0.2593718496578309,0.8832191395958237,0.13418794363880293,0.1704592092907966,0.5898552693412119,18.75,15,0.6164383561643836,292
flow_confirm_w10_ma50,validation,stress,flow_confirm_w10_ma50,flow_confirm,10.0,50.0,,,price_trend_ma50,-0.11193992793162277,-0.11193992793162277,-0.48258614390562854,-0.20845084683672666,-0.5370087463319446,-0.14722152127271793,-0.14722152127271793,-0.6819545880572542,22.0,22,0.3780821917808219,365
flow_above_mean_w10_ma50,development,base,flow_above_mean_w10_ma50,flow_above_mean,10.0,50.0,,,price_trend_ma50,0.11036805981932707,0.1398132488981374,0.5470675180517617,-0.24103569414764558,0.5800520515957079,0.06778676788142479,0.08543961639120545,0.40700120657138117,13.75,11,0.4726027397260274,292
flow_above_mean_w10_ma50,validation,base,flow_above_mean_w10_ma50,flow_above_mean,10.0,50.0,,,price_trend_ma50,0.00022033883390060183,0.00022033883390060183,0.08343352304469645,-0.14858123099788412,0.0014829520015468144,-0.03950276761938032,-0.03950276761938032,-0.16325122887609822,16.0,16,0.29315068493150687,365
flow_above_mean_w10_ma50,development,stress,flow_above_mean_w10_ma50,flow_above_mean,10.0,50.0,,,price_trend_ma50,0.09216505241588369,0.11650415752395915,0.48778964337101827,-0.25235488189364497,0.46166793624012337,0.05027947546268008,0.06323948947918878,0.3477803770451687,13.75,11,0.4726027397260274,292
flow_above_mean_w10_ma50,validation,stress,flow_above_mean_w10_ma50,flow_above_mean,10.0,50.0,,,price_trend_ma50,-0.023512295050554077,-0.023512295050554077,-0.06263536074047106,-0.16503972326234917,-0.14246445998445262,-0.06229539590507205,-0.06229539590507205,-0.309204098514771,16.0,16,0.29315068493150687,365
flow_riskoff_w10_q10_ma50,development,base,flow_riskoff_w10_q10_ma50,flow_riskoff,10.0,50.0,0.1,,price_trend_ma50,0.21036878908004542,0.26954221126719835,0.7913501511414885,-0.2518503565544853,1.0702474872569243,0.16396392444368346,0.20899470878810833,0.6699840676013864,21.25,17,0.6164383561643836,292
flow_riskoff_w10_q10_ma50,validation,base,flow_riskoff_w10_q10_ma50,flow_riskoff,10.0,50.0,0.1,,price_trend_ma50,0.018146684721717765,0.018146684721717765,0.19124510565027333,-0.16651438346498793,0.10897968298055988,-0.022288044770174653,-0.022288044770174653,0.009091433066443593,24.0,24,0.4191780821917808,365
flow_riskoff_w10_q10_ma50,development,stress,flow_riskoff_w10_q10_ma50,flow_riskoff,10.0,50.0,0.1,,price_trend_ma50,0.17992968857719882,0.22975942821593454,0.7122895228048276,-0.2649910252535329,0.867046074470295,0.13468792738660995,0.1711042113263086,0.5909155469086927,21.25,17,0.6164383561643836,292
flow_riskoff_w10_q10_ma50,validation,stress,flow_riskoff_w10_q10_ma50,flow_riskoff,10.0,50.0,0.1,,price_trend_ma50,-0.018058288521108024,-0.018058288521108024,0.029296389010952186,-0.1802062514755155,-0.10020900148162502,-0.057059031742858646,-0.057059031742858646,-0.15210520617805753,24.0,24,0.4191780821917808,365
flow_riskoff_w10_q20_ma50,development,base,flow_riskoff_w10_q20_ma50,flow_riskoff,10.0,50.0,0.2,,price_trend_ma50,0.28356909826241683,0.3662307826049047,0.9872300396928033,-0.21497196269590868,1.7036211513915474,0.23436670687288053,0.30108373989745285,0.8629774952469612,21.25,17,0.5958904109589042,292
flow_riskoff_w10_q20_ma50,validation,base,flow_riskoff_w10_q20_ma50,flow_riskoff,10.0,50.0,0.2,,price_trend_ma50,0.07325300331978823,0.07325300331978823,0.4303149013972558,-0.14534072255220987,0.5040088010672577,0.030636005702233238,0.030636005702233238,0.2463309088189723,22.0,22,0.4054794520547945,365
flow_riskoff_w10_q20_ma50,development,stress,flow_riskoff_w10_q20_ma50,flow_riskoff,10.0,50.0,0.2,,price_trend_ma50,0.25119248795986304,0.3232903953332269,0.9057077337936986,-0.22642479827834983,1.4278047183497882,0.20322699279057455,0.2601854405348556,0.781531423525332,21.25,17,0.5958904109589042,292
